Weather,City,Subservice,Service,Price
Extreme,Ahemdabad,Minor fittings installation,Kitchen cleaning,396.35
Fine,Ahemdabad,New internal wiring (per 5m),Refrigerator Repair,400.35
Extreme,Lucknow,Switch/socket replacement,Pest control,320.19
Extreme,Rishikesh,Tap replacement,Shave/beard grooming,59.93
Extreme,Lucknow,Wash basin installation,Water Purifier Repair,260.82
Fine,Delhi,Hot & cold water mixer repair,Microwave Repair,185.33
Fine,Noida,New wiring with casing (per 5m),Washing Machine Repair,215.66
Extreme,Noida,Tap repair,Laptop Repair,460.16
Extreme,Jaipur,PCB Repair,Home painting,86.86
Extreme,Ahemdabad,Decorative light & bed lamp installation,Shave/beard grooming,248.34
Fine,Delhi,Ceiling fan regulator replacement,Hair colour,287.54
Fine,Jaipur,Timer,Electrician,204.83
Extreme,Lucknow,Wash Basin Leakage Repair,Microwave Repair,363.79
Fine,Jaipur,Four Pole MCB Installation,Face care,420.19
Extreme,Ahemdabad,Fan uninstallation,Hair colour,410.02
Fine,Lucknow,Single battery inverter installation,Hair colour,179.82
Fine,Haridwar,Decorative Lights Uninstallation (per 5m),Hair colour,286.95
Extreme,Lucknow,3 Phase changeover switch installation,Chimney Repair,224.66
Fine,Dehradun,Inverter servicing,Laptop Repair,482.75
Extreme,Jaipur,Waste pipe leakage,Laptop Repair,317.17
Fine,Noida,Bulb,Shave/beard grooming,185
Fine,Noida,Decorative Lights Installation (per 10m),AC Repair Service,79.26
Fine,Ahemdabad,Fuse 5 / 15 Amp,Kitchen cleaning,337.21
Fine,Noida,Balcony drain blockage removal,Home painting,278.28
Extreme,Jaipur,Switch/socket replacement,Home painting,361.62
Extreme,Dehradun,Tap replacement,Washing Machine Repair,413.8
Fine,Dehradun,Geyser Installation,AC Repair Service,411.87
Fine,Haridwar,Switchboard repair,Refrigerator Repair,390.22
Fine,Delhi,MCB fuse replacement,Plumber,449.47
Fine,Jaipur,Bulb,Full home cleaning,382.77
Extreme,Jaipur,Decorative Lights Uninstallation (per 5m),Water Purifier Repair,140.66
Extreme,Ahemdabad,Geyser Installation,AC Repair Service,330.28
Extreme,Jaipur,Tap installation,Full home cleaning,72.24
Extreme,Ahemdabad,Fan replacement,Home painting,312.24
Extreme,Dehradun,Shower installation (ceiling mounted),Plumber,103.92
Fine,Noida,Hot & cold water mixer installation,Water Purifier Repair,306.64
Fine,Jaipur,Bulb Holder Installation,Face care,203.71
Extreme,Rishikesh,Bulb,Shave/beard grooming,356.04
Fine,Ahemdabad,Fan replacement,Pest control,450.07
Fine,Jaipur,Four Pole MCB Installation,AC Repair Service,394.57
Fine,Ahemdabad,3 Phase changeover switch installation,Washing Machine Repair,309.91
Extreme,Haridwar,Minor fittings installation,Pest control,492.57
Fine,Ahemdabad,New wiring with casing (per 5m),Kitchen cleaning,61.33
Extreme,Lucknow,Fan replacement,Carpenter,193.68
Extreme,Haridwar,Geyser Installation,Kitchen cleaning,53.78
Extreme,Jaipur,Mini home theater installation,Bathroom cleaning,321.26
Fine,Jaipur,TV uninstallation,Pest control,70.54
Fine,Ahemdabad,Sub meter installation,Carpenter,373.83
Extreme,Noida,Bulb,Hair colour,280.94
Extreme,Rishikesh,Double Pole MCB Installation,Laptop Repair,108.17
Fine,Rishikesh,Room heater repair,Washing Machine Repair,310.85
Fine,Noida,Wash Basin Leakage Repair,Plumber,458.71
Fine,Lucknow,Double Pole MCB Installation,Microwave Repair,311.23
Extreme,Rishikesh,Ceiling Fan Installation,Water Purifier Repair,129.4
Extreme,Rishikesh,Material Procurement Charges,Shave/beard grooming,111.05
Extreme,Dehradun,Decorative Lights Uninstallation (per 5m),Laptop Repair,397.48
Extreme,Ahemdabad,Bulb Holder Installation,Chimney Repair,353.8
Fine,Jaipur,Timer,Chimney Repair,364.56
Extreme,Haridwar,Inverter servicing,Full home cleaning,416.59
Fine,Haridwar,Bulb,Kitchen cleaning,213.8
Fine,Jaipur,Mini home theater installation,Face care,417.26
Extreme,Jaipur,Bulb holder installation,Chimney Repair,362.02
Fine,Delhi,Chandelier installation (more than 6 bulbs),Kitchen cleaning,173.43
Fine,Delhi,Drainage pipe blockage removal,Washing Machine Repair,370.05
Extreme,Haridwar,Ceiling fan regulator replacement,Electrician,263.28
Fine,Delhi,Tap repair,Carpenter,244.15
Fine,Delhi,Decorative Lights Installation (per 5m),Refrigerator Repair,425.35
Fine,Haridwar,Bulb,Plumber,66.88
Extreme,Noida,Decorative ceiling fan installation,Washing Machine Repair,428.02
Extreme,Lucknow,Waste pipe leakage,Water Purifier Repair,278.14
Fine,Delhi,Fan uninstallation,Kitchen cleaning,173.9
Fine,Ahemdabad,Decorative Lights Installation (per 5m),Refrigerator Repair,85.74
Fine,Rishikesh,Ceiling fan regulator replacement,Chimney Repair,318.5
Extreme,Dehradun,TV installation (up to 48 inches),Face care,146.91
Fine,Haridwar,Decorative Lights Installation (per 10m),AC Repair Service,451.66
Extreme,Ahemdabad,Switch/socket replacement,Plumber,338.08
Fine,Delhi,Triple Pole MCB Installation,Laptop Repair,458.77
Extreme,Dehradun,Tubelight Installation/Repair,Carpenter,124.12
Extreme,Rishikesh,Inverter fuse replacement,Bathroom cleaning,278.56
Fine,Noida,Single pole MCB installation,Chimney Repair,325.25
Extreme,Rishikesh,Bulbs installation (upto 5 bulbs),Hair colour,56.5
Fine,Ahemdabad,Single pole MCB installation,Face care,119.69
Fine,Delhi,Decorative light & bed lamp installation,Washing Machine Repair,252.25
Fine,Rishikesh,Fan replacement,Hair colour,364.36
Fine,Noida,Inverter PCB Card Replacement,Microwave Repair,326.09
Fine,Haridwar,Lights Uninstallation (per 20 m),Bathroom cleaning,368.05
Fine,Noida,Inverter fuse replacement,Full home cleaning,86.12
Fine,Haridwar,Material Procurement Charges,Microwave Repair,89.04
Extreme,Rishikesh,Bulbs installation (upto 5 bulbs),AC Repair Service,249.96
Fine,Lucknow,Minor fittings installation,Men/kids haircut,81.98
Extreme,Rishikesh,Four Pole MCB Installation,Hair colour,424.99
Fine,Haridwar,Inverter servicing,Massage,183.93
Fine,Rishikesh,TV installation (up to 48 inches),Refrigerator Repair,320.38
Extreme,Ahemdabad,Double Pole MCB Installation,Bathroom cleaning,367.32
Extreme,Jaipur,Shower installation (ceiling mounted),Shave/beard grooming,114.67
Fine,Lucknow,Geyser Installation,Pest control,61.5
Fine,Jaipur,Door bell replacement,Chimney Repair,228.5
Extreme,Rishikesh,Lantern Installation,Home painting,143.17
Extreme,Haridwar,New wiring without casing (per 5m),Laptop Repair,390.75
Extreme,Haridwar,Geyser Uninstallation,Carpenter,480.41
Extreme,Dehradun,Thermal Cut Off (TCO),Laptop Repair,361.14
Extreme,Delhi,Double battery inverter installation,Home painting,134.09
Fine,Noida,Decorative ceiling fan installation,Microwave Repair,314.68
Fine,Jaipur,Decorative Lights Installation (per 5m),Face care,64.16
Fine,Haridwar,Ceiling fan regulator replacement,Plumber,488.09
Extreme,Haridwar,Decorative ceiling fan installation,Full home cleaning,179.31
Fine,Haridwar,Wash Basin Leakage Repair,AC Repair Service,260.96
Fine,Ahemdabad,Decorative light & bed lamp installation,Kitchen cleaning,123.16
Extreme,Lucknow,Double Pole MCB Installation,Home painting,84.82
Fine,Lucknow,AC switchbox installation,Pest control,331.71
Extreme,Rishikesh,Single pole MCB installation,Bathroom cleaning,365.32
Extreme,Dehradun,Decorative ceiling fan installation,Laptop Repair,469.67
Fine,Ahemdabad,Mini home theater installation,Washing Machine Repair,336.48
Extreme,Jaipur,Cavity sensor,Microwave Repair,480.54
Extreme,Noida,TV uninstallation,Hair colour,301.15
Extreme,Lucknow,Sub meter installation,Pest control,362.33
Extreme,Jaipur,Geyser Installation,AC Repair Service,77.92
Fine,Rishikesh,Chandelier installation (more than 6 bulbs),Bathroom cleaning,484.25
Fine,Lucknow,Hot & cold water mixer installation,Kitchen cleaning,284.57
Extreme,Noida,Replace CFL to LED,Plumber,251.81
Fine,Rishikesh,Fan uninstallation,Refrigerator Repair,259.01
Extreme,Delhi,Switchboard repair,Chimney Repair,62.92
Extreme,Ahemdabad,Inverter servicing,Hair colour,451.16
Extreme,Delhi,Decorative Lights Installation (per 15m),Washing Machine Repair,450.96
Extreme,Dehradun,Timer,Chimney Repair,477.52
Fine,Delhi,Switch/socket replacement,AC Repair Service,293.86
Fine,Ahemdabad,Fan replacement,Pest control,356.94
Extreme,Ahemdabad,Fuse 5 / 15 Amp,Men/kids haircut,428.57
Fine,Rishikesh,Single pole MCB installation,Refrigerator Repair,278.47
Extreme,Lucknow,Geyser Uninstallation,Plumber,356.59
Extreme,Ahemdabad,Material Procurement Charges,Microwave Repair,125.03
Fine,Noida,Stabilizer installation,Home painting,83.91
Extreme,Haridwar,Fan uninstallation,Microwave Repair,145.38
Extreme,Delhi,Timer,Chimney Repair,474.03
Fine,Lucknow,Decorative ceiling fan installation,Kitchen cleaning,434.81
Extreme,Dehradun,New wiring with casing (per 5m),Plumber,314.64
Extreme,Haridwar,Double Pole MCB Installation,Full home cleaning,211.13
Fine,Noida,AC switchbox installation,Hair colour,122.96
Fine,Noida,Fan replacement,Full home cleaning,298.27
Extreme,Ahemdabad,Ceiling fan regulator replacement,Home painting,474.41
Extreme,Jaipur,Minor fittings installation,Microwave Repair,221.64
Extreme,Jaipur,Geyser Uninstallation,Bathroom cleaning,375.61
Fine,Haridwar,Triple Pole MCB Installation,Hair colour,225.16
Fine,Delhi,Switch/socket replacement,Refrigerator Repair,414.34
Fine,Rishikesh,Inverter fuse replacement,Laptop Repair,364.63
Extreme,Lucknow,Door bell replacement,Electrician,150.28
Extreme,Lucknow,Triple Pole MCB Installation,Carpenter,481.75
Fine,Ahemdabad,Hot & cold water mixer repair,Laptop Repair,496.5
Extreme,Delhi,Stabilizer installation,Kitchen cleaning,310.32
Extreme,Jaipur,Chandelier installation (more than 6 bulbs),Water Purifier Repair,460.94
Extreme,Lucknow,Hot & cold water mixer installation,Laptop Repair,423.19
Extreme,Ahemdabad,MCB fuse replacement,Laptop Repair,195.79
Extreme,Dehradun,Bulbs installation (upto 5 bulbs),Face care,257.92
Fine,Noida,TV installation (above 48 inches),Plumber,386.91
Fine,Ahemdabad,AC switchbox installation,Home painting,211.12
Fine,Lucknow,Double Pole MCB Installation,Laptop Repair,107.54
Extreme,Jaipur,Stabilizer installation,Refrigerator Repair,118.39
Fine,Rishikesh,Chandelier installation (more than 6 bulbs),Chimney Repair,269.9
Fine,Jaipur,Inverter PCB Card Replacement,Electrician,227.39
Fine,Rishikesh,Timer,Shave/beard grooming,106.32
Fine,Ahemdabad,Decorative Lights Uninstallation (per 5m),Plumber,85.61
Extreme,Lucknow,New wiring with casing (per 5m),Washing Machine Repair,152.75
Extreme,Haridwar,Double Pole MCB Installation,Chimney Repair,290.01
Fine,Rishikesh,Double Pole MCB Installation,Plumber,499.47
Fine,Noida,Hot & cold water mixer installation,Bathroom cleaning,116.1
Extreme,Lucknow,Bulbs installation (upto 5 bulbs),Bathroom cleaning,426.9
Fine,Lucknow,Lights Uninstallation (per 20 m),Pest control,462.7
Fine,Ahemdabad,TV uninstallation,Microwave Repair,496.47
Extreme,Lucknow,New wiring without casing (per 5m),Microwave Repair,143.12
Fine,Haridwar,Switchboard installation,Home painting,84.79
Fine,Jaipur,Geyser Uninstallation,Laptop Repair,160.81
Fine,Delhi,Wash basin blockage removal,Kitchen cleaning,426.28
Fine,Noida,Decorative Lights Installation (per 5m),Electrician,346.48
Extreme,Delhi,Wash Basin Leakage Repair,Shave/beard grooming,277.92
Fine,Lucknow,Fan repair,Shave/beard grooming,165.12
Extreme,Delhi,3 Phase Changeover Switch Installation,Carpenter,82.65
Extreme,Rishikesh,Hot & cold water mixer repair,Washing Machine Repair,300.49
Fine,Ahemdabad,Thermal Cut Off (TCO),Water Purifier Repair,114.52
Fine,Ahemdabad,TV uninstallation,Kitchen cleaning,176.21
Extreme,Delhi,Decorative Lights Installation (per 10m),Electrician,279.71
Fine,Rishikesh,Double Pole MCB Installation,Bathroom cleaning,437.81
Extreme,Lucknow,Fuse 5 / 15 Amp,Carpenter,112.32
Extreme,Delhi,Inverter servicing,Electrician,466.17
Fine,Rishikesh,Single pole MCB installation,Shave/beard grooming,118.54
Extreme,Jaipur,Lantern Installation,Face care,323.71
Fine,Ahemdabad,Chandelier installation (more than 6 bulbs),Microwave Repair,288.48
Fine,Delhi,Inverter PCB Card Replacement,Pest control,299.47
Extreme,Delhi,Sub meter installation,Chimney Repair,397.58
Fine,Jaipur,New wiring without casing (per 5m),Water Purifier Repair,140.75
Extreme,Noida,Minor fittings installation,AC Repair Service,347.86
Extreme,Delhi,Geyser Uninstallation,Shave/beard grooming,191.69
Fine,Delhi,Fan repair,Microwave Repair,69.71
Fine,Dehradun,Wash basin installation,Chimney Repair,432.39
Extreme,Delhi,Timer,Refrigerator Repair,131.33
Extreme,Ahemdabad,Inverter servicing,Bathroom cleaning,163.54
Fine,Dehradun,Fuse 5 / 15 Amp,AC Repair Service,116.65
Fine,Lucknow,New internal wiring (per 5m),Kitchen cleaning,351.22
Extreme,Dehradun,Switch Membrane / Key Pad Repair,Chimney Repair,319.97
Extreme,Dehradun,Wash Basin Leakage Repair,Washing Machine Repair,361.18
Extreme,Noida,Triple Pole MCB Installation,Full home cleaning,79.14
Fine,Rishikesh,Ceiling fan regulator replacement,Refrigerator Repair,455.85
Extreme,Noida,Timer,Massage,254.48
Extreme,Noida,TV installation (above 48 inches),Pest control,138.15
Extreme,Jaipur,Decorative light & bed lamp installation,Face care,237.44
Fine,Haridwar,Mini home theater installation,Plumber,206.09
Fine,Haridwar,Triple Pole MCB Installation,Pest control,497.33
Fine,Ahemdabad,Inverter servicing,Kitchen cleaning,454.24
Fine,Haridwar,Waste pipe leakage,Home painting,339.89
Fine,Lucknow,Stabilizer installation,Chimney Repair,480.66
Extreme,Haridwar,Wash basin blockage removal,Laptop Repair,208.09
Extreme,Jaipur,Fan Coil Repair,Microwave Repair,431.06
Fine,Lucknow,Door bell replacement,Shave/beard grooming,202.16
Extreme,Rishikesh,Decorative Lights Installation (per 15m),Shave/beard grooming,201.87
Fine,Ahemdabad,Single battery inverter installation,Water Purifier Repair,401.46
Fine,Lucknow,TV installation (above 48 inches),Water Purifier Repair,71.68
Extreme,Noida,Switch/socket replacement,Men/kids haircut,329.72
Fine,Ahemdabad,Shower installation (wall mounted/ hand-held),Microwave Repair,475.75
Fine,Rishikesh,New wiring with casing (per 5m),Kitchen cleaning,387.69
Fine,Jaipur,Timer,Pest control,220.65
Extreme,Delhi,Lantern Installation,Water Purifier Repair,101.61
Fine,Haridwar,Thermal Cut Off (TCO),Massage,341.34
Extreme,Rishikesh,Switch Membrane / Key Pad Repair,Massage,460.28
Extreme,Jaipur,Triple Pole MCB Installation,Laptop Repair,244.23
Fine,Jaipur,Inverter fuse replacement,Hair colour,416.53
Extreme,Ahemdabad,Lights Uninstallation (per 20 m),Hair colour,284.32
Extreme,Noida,Inverter fuse replacement,Water Purifier Repair,476.18
Fine,Rishikesh,Decorative light & bed lamp installation,Massage,336.01
Extreme,Ahemdabad,Chandelier installation (more than 6 bulbs),Chimney Repair,133.87
Fine,Dehradun,Fan replacement,Microwave Repair,478.76
Extreme,Dehradun,MCB fuse replacement,Electrician,193.27
Extreme,Noida,PCB Repair,Men/kids haircut,226.81
Fine,Jaipur,Inverter PCB Card Replacement,Pest control,280.32
Extreme,Jaipur,Minor fittings installation,Full home cleaning,267.36
Fine,Jaipur,Geyser Uninstallation,Massage,74.12
Extreme,Noida,Material Procurement Charges,Shave/beard grooming,179.1
Fine,Rishikesh,Fan Coil Repair,Full home cleaning,74.25
Fine,Ahemdabad,Single pole MCB installation,Refrigerator Repair,375.13
Fine,Rishikesh,Bulb holder installation,Washing Machine Repair,438.32
Fine,Lucknow,TV installation (above 48 inches),Chimney Repair,216.02
Extreme,Ahemdabad,TV uninstallation,Microwave Repair,213.67
Fine,Haridwar,Fan uninstallation,Shave/beard grooming,398.21
Fine,Lucknow,Double battery inverter installation,Pest control,129.86
Extreme,Noida,Chandelier installation (upto 6 bulbs),Laptop Repair,367.7
Extreme,Jaipur,Decorative light & bed lamp installation,Hair colour,298.49
Fine,Jaipur,Wash basin blockage removal,Men/kids haircut,464.82
Extreme,Delhi,Stabilizer installation,Water Purifier Repair,435.69
Extreme,Lucknow,TV installation (up to 48 inches),Full home cleaning,400.55
Extreme,Ahemdabad,New internal wiring (per 5m),Bathroom cleaning,312.27
Fine,Dehradun,Stabilizer installation,Chimney Repair,233.71
Extreme,Delhi,Lights Uninstallation (per 20 m),Microwave Repair,101.58
Extreme,Haridwar,Geyser Uninstallation,Pest control,470.14
Extreme,Jaipur,Wash basin installation,Chimney Repair,217.88
Extreme,Rishikesh,Ceiling Fan Installation,Kitchen cleaning,287.49
Fine,Ahemdabad,Wash basin installation,Face care,233.56
Fine,Ahemdabad,Ceiling Fan Installation,Kitchen cleaning,492.3
Extreme,Jaipur,Room heater repair,Shave/beard grooming,492.08
Extreme,Dehradun,Fan uninstallation,Face care,90.4
Extreme,Ahemdabad,Decorative Lights Installation (per 15m),Water Purifier Repair,326.22
Fine,Lucknow,Wash basin blockage removal,Laptop Repair,474.66
Extreme,Dehradun,Switchboard installation,Full home cleaning,268.07
Fine,Jaipur,Wash basin blockage removal,Microwave Repair,365.61
Fine,Delhi,Shower installation (ceiling mounted),AC Repair Service,227.89
Fine,Rishikesh,Sub meter installation,Water Purifier Repair,145.77
Fine,Lucknow,Switch Membrane / Key Pad Repair,Shave/beard grooming,292.57
Extreme,Haridwar,Single pole MCB installation,Shave/beard grooming,238.42
Fine,Lucknow,Fan repair,Carpenter,264.68
Extreme,Lucknow,Bulb Holder Installation,Face care,386.79
Extreme,Jaipur,Bulb holder installation,Massage,88.56
Extreme,Rishikesh,Material Procurement Charges,Hair colour,496.86
Fine,Ahemdabad,Mini home theater installation,Massage,363.77
Fine,Ahemdabad,TV installation (above 48 inches),Bathroom cleaning,163.57
Extreme,Dehradun,Inverter servicing,Bathroom cleaning,463.95
Fine,Jaipur,Geyser Uninstallation,Washing Machine Repair,79.4
Extreme,Lucknow,Shower installation (wall mounted/ hand-held),Carpenter,399.38
Extreme,Delhi,Bulb holder installation,Electrician,320.96
Fine,Jaipur,Fan Coil Repair,Massage,184.44
Fine,Ahemdabad,Hot & cold water mixer repair,Kitchen cleaning,292.37
Fine,Jaipur,Double battery inverter installation,Chimney Repair,90.4
Extreme,Jaipur,AC switchbox installation,Microwave Repair,471.71
Extreme,Ahemdabad,Ceiling fan regulator replacement,Bathroom cleaning,415.75
Fine,Dehradun,New internal wiring (per 5m),Kitchen cleaning,471.99
Fine,Rishikesh,Stabilizer installation,Massage,397.31
Extreme,Haridwar,Inverter PCB Card Replacement,Plumber,201.99
Extreme,Ahemdabad,AC switchbox installation,Kitchen cleaning,418.64
Extreme,Ahemdabad,Timer,Carpenter,495.18
Fine,Rishikesh,Switch/socket replacement,Massage,111.55
Fine,Lucknow,Replace CFL to LED,Face care,337.99
Extreme,Ahemdabad,New wiring without casing (per 5m),Kitchen cleaning,291.53
Fine,Haridwar,Wash Basin Leakage Repair,Shave/beard grooming,377.71
Fine,Noida,Decorative ceiling fan installation,Massage,106.04
Fine,Ahemdabad,Fan replacement,Pest control,499.09
Fine,Jaipur,MCB fuse replacement,AC Repair Service,347.41
Fine,Rishikesh,Hot & cold water mixer repair,Face care,461.63
Fine,Jaipur,Replace CFL to LED,AC Repair Service,207.85
Extreme,Noida,TV installation (above 48 inches),Home painting,399.4
Fine,Haridwar,Hot & cold water mixer installation,Plumber,391.65
Fine,Noida,Room heater repair,Shave/beard grooming,475.7
Fine,Jaipur,Geyser Uninstallation,Home painting,250.94
Extreme,Delhi,TV installation (above 48 inches),Hair colour,476.39
Extreme,Lucknow,Fan repair,Face care,443.4
Extreme,Haridwar,Geyser Uninstallation,Home painting,75.97
Extreme,Ahemdabad,New internal wiring (per 5m),Kitchen cleaning,141.19
Fine,Delhi,Geyser Installation,Microwave Repair,421.19
Fine,Noida,3 Phase Changeover Switch Installation,Massage,53.7
Extreme,Rishikesh,Lights Uninstallation (per 20 m),Full home cleaning,280.43
Fine,Jaipur,Tubelight Installation/Repair,Microwave Repair,133.17
Fine,Jaipur,Replace CFL to LED,Hair colour,243.72
Extreme,Dehradun,Wash basin installation,Shave/beard grooming,311.55
Fine,Delhi,Timer,Laptop Repair,143.98
Fine,Lucknow,Minor fittings installation,Pest control,228.51
Fine,Jaipur,Door bell replacement,Washing Machine Repair,344.11
Fine,Noida,Stabilizer installation,Shave/beard grooming,464.45
Fine,Delhi,Mini home theater installation,Microwave Repair,246.99
Fine,Ahemdabad,Shower installation (ceiling mounted),Face care,480.81
Fine,Jaipur,Geyser Uninstallation,Pest control,164.5
Fine,Ahemdabad,Door bell installation,Kitchen cleaning,128.63
Extreme,Dehradun,Bulbs installation (upto 5 bulbs),Men/kids haircut,281.45
Extreme,Delhi,Inverter fuse replacement,Hair colour,275.46
Fine,Lucknow,Fan replacement,Microwave Repair,287.01
Fine,Rishikesh,Lantern Installation,Electrician,104.68
Fine,Delhi,Wash basin blockage removal,Hair colour,298.88
Extreme,Delhi,TV installation (up to 48 inches),Chimney Repair,114.15
Extreme,Lucknow,Material Procurement Charges,Refrigerator Repair,282.89
Fine,Haridwar,Timer,Laptop Repair,165.55
Extreme,Delhi,Ceiling Fan Installation,Face care,240.17
Extreme,Haridwar,Drainage pipe blockage removal,Men/kids haircut,91.2
Fine,Rishikesh,Switchboard installation,Chimney Repair,412.11
Extreme,Rishikesh,PCB Repair,Chimney Repair,470.41
Fine,Rishikesh,Decorative Lights Uninstallation (per 5m),Chimney Repair,191.11
Fine,Lucknow,Single battery inverter installation,Bathroom cleaning,257.01
Extreme,Delhi,Material Procurement Charges,Shave/beard grooming,401.44
Fine,Haridwar,Waste pipe leakage,Full home cleaning,314.06
Fine,Jaipur,AC switchbox installation,Massage,118.85
Fine,Jaipur,Inverter servicing,Washing Machine Repair,60
Fine,Rishikesh,Ceiling fan regulator replacement,Massage,398.73
Fine,Delhi,Bulb,Hair colour,311.54
Fine,Lucknow,Shower installation (ceiling mounted),Plumber,217.2
Fine,Delhi,Wash Basin Leakage Repair,Plumber,323.64
Fine,Dehradun,New wiring without casing (per 5m),Kitchen cleaning,205.31
Fine,Haridwar,Material Procurement Charges,Home painting,260.22
Extreme,Delhi,Stabilizer installation,Laptop Repair,169.99
Fine,Haridwar,Thermal Cut Off (TCO),Chimney Repair,87.26
Fine,Haridwar,Double battery inverter installation,Face care,183.12
Extreme,Ahemdabad,TV installation (above 48 inches),Microwave Repair,482.75
Extreme,Haridwar,Shower installation (ceiling mounted),AC Repair Service,209.74
Fine,Ahemdabad,Cavity sensor,Carpenter,314.89
Fine,Ahemdabad,Shower installation (wall mounted/ hand-held),Shave/beard grooming,235.94
Extreme,Dehradun,Lantern Installation,Shave/beard grooming,461.66
Extreme,Jaipur,New wiring with casing (per 5m),Home painting,314.77
Fine,Haridwar,Switchboard installation,Massage,103.64
Fine,Rishikesh,Minor fittings installation,Men/kids haircut,333.44
Fine,Noida,Bulbs installation (upto 5 bulbs),Massage,391.89
Extreme,Rishikesh,Tubelight Installation/Repair,Massage,278.99
Extreme,Jaipur,Waste pipe leakage,AC Repair Service,450.47
Extreme,Ahemdabad,Switch Membrane / Key Pad Repair,Chimney Repair,58.68
Fine,Delhi,Inverter fuse replacement,Chimney Repair,466.07
Fine,Delhi,Fan Coil Repair,Refrigerator Repair,75.83
Fine,Dehradun,Double Pole MCB Installation,Face care,254.07
Extreme,Rishikesh,Decorative Lights Uninstallation (per 5m),Washing Machine Repair,456.89
Fine,Haridwar,Balcony drain blockage removal,Laptop Repair,372.97
Extreme,Jaipur,Four Pole MCB Installation,Kitchen cleaning,248.91
Fine,Rishikesh,Fan replacement,Plumber,251.27
Fine,Ahemdabad,Stabilizer installation,Home painting,139.33
Fine,Lucknow,Decorative Lights Installation (per 15m),Plumber,211.24
Extreme,Noida,Four Pole MCB Installation,Bathroom cleaning,104.43
Extreme,Dehradun,Bulb Holder Installation,Electrician,403.14
Fine,Rishikesh,Fan Coil Repair,Refrigerator Repair,293.54
Fine,Jaipur,Geyser Installation,Massage,285.93
Fine,Noida,Fan Coil Repair,Kitchen cleaning,428.67
Fine,Noida,Timer,Massage,336.3
Extreme,Noida,Bulb Holder Installation,Laptop Repair,119.26
Fine,Noida,Mini home theater installation,Massage,457.44
Fine,Lucknow,Cavity sensor,Hair colour,156.41
Extreme,Haridwar,PCB Repair,Face care,369.37
