User ID,Service ID,Service Type,Rating,Review
User_1425,Service_4,AC Repair Service,2,"""Good job overall."""
User_1795,Service_15,Kitchen cleaning,3,"""Could be better."""
User_1789,Service_12,Hair colour,5,"""Excellent service!"""
User_861,Service_9,Men/kids haircut,5,"""Excellent service!"""
User_15,Service_8,Microwave Repair,1,"""Satisfactory work."""
User_74,Service_5,Refrigerator Repair,5,"""Could be better."""
User_681,Service_4,AC Repair Service,5,"""Satisfactory work."""
User_176,Service_11,Shave/beard grooming,5,"""Excellent service!"""
User_710,Service_16,Chimney Repair,3,"""Excellent service!"""
User_40,Service_1,Electrician,4,"""Not happy with the service."""
User_660,Service_3,Carpenter,1,"""Excellent service!"""
User_1638,Service_14,Bathroom cleaning,4,"""Not happy with the service."""
User_726,Service_6,Washing Machine Repair,5,"""Excellent service!"""
User_1532,Service_13,Massage,1,"""Excellent service!"""
User_993,Service_16,Chimney Repair,1,"""Satisfactory work."""
User_375,Service_17,Laptop Repair,3,"""Good job overall."""
User_1830,Service_5,Refrigerator Repair,1,"""Could be better."""
User_307,Service_2,Plumber,1,"""Could be better."""
User_1,Service_9,Men/kids haircut,3,"""Good job overall."""
User_1148,Service_5,Refrigerator Repair,2,"""Not happy with the service."""
User_832,Service_10,Face care,2,"""Excellent service!"""
User_677,Service_2,Plumber,2,"""Satisfactory work."""
User_277,Service_20,Home painting,3,"""Satisfactory work."""
User_573,Service_19,Full home cleaning,3,"""Satisfactory work."""
User_491,Service_20,Home painting,3,"""Satisfactory work."""
User_259,Service_6,Washing Machine Repair,3,"""Excellent service!"""
User_416,Service_4,AC Repair Service,5,"""Satisfactory work."""
User_78,Service_19,Full home cleaning,3,"""Not happy with the service."""
User_193,Service_11,Shave/beard grooming,5,"""Good job overall."""
User_1463,Service_1,Electrician,4,"""Good job overall."""
User_640,Service_6,Washing Machine Repair,1,"""Excellent service!"""
User_1847,Service_1,Electrician,1,"""Could be better."""
User_1125,Service_9,Men/kids haircut,3,"""Satisfactory work."""
User_221,Service_14,Bathroom cleaning,4,"""Good job overall."""
User_1733,Service_10,Face care,4,"""Good job overall."""
User_1519,Service_6,Washing Machine Repair,4,"""Satisfactory work."""
User_1196,Service_2,Plumber,2,"""Excellent service!"""
User_1260,Service_11,Shave/beard grooming,1,"""Satisfactory work."""
User_95,Service_19,Full home cleaning,3,"""Good job overall."""
User_1839,Service_1,Electrician,2,"""Not happy with the service."""
User_630,Service_3,Carpenter,4,"""Not happy with the service."""
User_1861,Service_1,Electrician,2,"""Not happy with the service."""
User_1268,Service_9,Men/kids haircut,3,"""Good job overall."""
User_247,Service_10,Face care,3,"""Could be better."""
User_1420,Service_11,Shave/beard grooming,4,"""Satisfactory work."""
User_721,Service_8,Microwave Repair,5,"""Excellent service!"""
User_1605,Service_11,Shave/beard grooming,2,"""Could be better."""
User_777,Service_18,Pest control,3,"""Excellent service!"""
User_1274,Service_10,Face care,5,"""Not happy with the service."""
User_1237,Service_4,AC Repair Service,1,"""Satisfactory work."""
User_1442,Service_4,AC Repair Service,5,"""Good job overall."""
User_125,Service_16,Chimney Repair,3,"""Not happy with the service."""
User_469,Service_3,Carpenter,5,"""Could be better."""
User_1117,Service_18,Pest control,2,"""Not happy with the service."""
User_1100,Service_8,Microwave Repair,5,"""Good job overall."""
User_1766,Service_7,Water Purifier Repair,2,"""Excellent service!"""
User_1200,Service_14,Bathroom cleaning,1,"""Satisfactory work."""
User_1870,Service_1,Electrician,2,"""Not happy with the service."""
User_1897,Service_18,Pest control,1,"""Good job overall."""
User_1431,Service_16,Chimney Repair,2,"""Not happy with the service."""
User_1116,Service_11,Shave/beard grooming,1,"""Good job overall."""
User_676,Service_19,Full home cleaning,4,"""Excellent service!"""
User_292,Service_2,Plumber,3,"""Not happy with the service."""
User_1151,Service_11,Shave/beard grooming,4,"""Could be better."""
User_988,Service_20,Home painting,1,"""Good job overall."""
User_1471,Service_2,Plumber,1,"""Not happy with the service."""
User_178,Service_8,Microwave Repair,3,"""Satisfactory work."""
User_1100,Service_16,Chimney Repair,5,"""Good job overall."""
User_73,Service_8,Microwave Repair,3,"""Not happy with the service."""
User_1890,Service_8,Microwave Repair,5,"""Could be better."""
User_214,Service_17,Laptop Repair,4,"""Could be better."""
User_1579,Service_15,Kitchen cleaning,2,"""Not happy with the service."""
User_1547,Service_15,Kitchen cleaning,5,"""Satisfactory work."""
User_677,Service_16,Chimney Repair,1,"""Good job overall."""
User_504,Service_20,Home painting,2,"""Good job overall."""
User_76,Service_16,Chimney Repair,3,"""Excellent service!"""
User_897,Service_2,Plumber,1,"""Excellent service!"""
User_1412,Service_7,Water Purifier Repair,1,"""Could be better."""
User_86,Service_14,Bathroom cleaning,1,"""Satisfactory work."""
User_781,Service_10,Face care,4,"""Excellent service!"""
User_934,Service_1,Electrician,3,"""Satisfactory work."""
User_563,Service_20,Home painting,1,"""Not happy with the service."""
User_166,Service_13,Massage,5,"""Excellent service!"""
User_110,Service_15,Kitchen cleaning,3,"""Not happy with the service."""
User_40,Service_3,Carpenter,1,"""Could be better."""
User_1837,Service_18,Pest control,2,"""Satisfactory work."""
User_1297,Service_11,Shave/beard grooming,4,"""Could be better."""
User_287,Service_5,Refrigerator Repair,3,"""Could be better."""
User_503,Service_12,Hair colour,1,"""Could be better."""
User_785,Service_18,Pest control,4,"""Could be better."""
User_1820,Service_2,Plumber,1,"""Could be better."""
User_1427,Service_5,Refrigerator Repair,1,"""Not happy with the service."""
User_919,Service_11,Shave/beard grooming,1,"""Not happy with the service."""
User_1541,Service_8,Microwave Repair,2,"""Not happy with the service."""
User_1000,Service_2,Plumber,5,"""Excellent service!"""
User_1288,Service_12,Hair colour,2,"""Excellent service!"""
User_1096,Service_9,Men/kids haircut,2,"""Satisfactory work."""
User_208,Service_4,AC Repair Service,2,"""Not happy with the service."""
User_671,Service_1,Electrician,5,"""Satisfactory work."""
User_282,Service_13,Massage,1,"""Not happy with the service."""
User_1218,Service_17,Laptop Repair,3,"""Not happy with the service."""
User_1197,Service_15,Kitchen cleaning,3,"""Satisfactory work."""
User_806,Service_6,Washing Machine Repair,4,"""Good job overall."""
User_1614,Service_15,Kitchen cleaning,2,"""Not happy with the service."""
User_1436,Service_14,Bathroom cleaning,3,"""Could be better."""
User_379,Service_8,Microwave Repair,4,"""Good job overall."""
User_1034,Service_2,Plumber,4,"""Satisfactory work."""
User_166,Service_2,Plumber,4,"""Satisfactory work."""
User_35,Service_2,Plumber,4,"""Not happy with the service."""
User_1260,Service_19,Full home cleaning,4,"""Excellent service!"""
User_1247,Service_3,Carpenter,4,"""Satisfactory work."""
User_1222,Service_3,Carpenter,5,"""Could be better."""
User_605,Service_15,Kitchen cleaning,5,"""Excellent service!"""
User_1798,Service_7,Water Purifier Repair,3,"""Good job overall."""
User_129,Service_19,Full home cleaning,4,"""Satisfactory work."""
User_1564,Service_11,Shave/beard grooming,4,"""Not happy with the service."""
User_972,Service_15,Kitchen cleaning,2,"""Good job overall."""
User_1910,Service_8,Microwave Repair,2,"""Not happy with the service."""
User_636,Service_2,Plumber,5,"""Could be better."""
User_1411,Service_3,Carpenter,4,"""Good job overall."""
User_1612,Service_6,Washing Machine Repair,2,"""Excellent service!"""
User_805,Service_3,Carpenter,2,"""Good job overall."""
User_1897,Service_1,Electrician,3,"""Excellent service!"""
User_873,Service_13,Massage,5,"""Not happy with the service."""
User_1984,Service_11,Shave/beard grooming,2,"""Not happy with the service."""
User_423,Service_16,Chimney Repair,2,"""Could be better."""
User_428,Service_13,Massage,5,"""Could be better."""
User_1136,Service_4,AC Repair Service,4,"""Good job overall."""
User_549,Service_8,Microwave Repair,2,"""Good job overall."""
User_934,Service_4,AC Repair Service,3,"""Could be better."""
User_1938,Service_18,Pest control,1,"""Excellent service!"""
User_1382,Service_13,Massage,3,"""Good job overall."""
User_1168,Service_15,Kitchen cleaning,4,"""Excellent service!"""
User_1370,Service_4,AC Repair Service,3,"""Not happy with the service."""
User_487,Service_4,AC Repair Service,5,"""Good job overall."""
User_1896,Service_4,AC Repair Service,1,"""Good job overall."""
User_927,Service_17,Laptop Repair,3,"""Excellent service!"""
User_159,Service_8,Microwave Repair,1,"""Satisfactory work."""
User_1841,Service_9,Men/kids haircut,2,"""Excellent service!"""
User_496,Service_14,Bathroom cleaning,2,"""Could be better."""
User_397,Service_13,Massage,5,"""Satisfactory work."""
User_402,Service_2,Plumber,4,"""Not happy with the service."""
User_431,Service_1,Electrician,1,"""Could be better."""
User_48,Service_4,AC Repair Service,2,"""Excellent service!"""
User_751,Service_1,Electrician,4,"""Satisfactory work."""
User_306,Service_18,Pest control,5,"""Not happy with the service."""
User_187,Service_20,Home painting,3,"""Good job overall."""
User_1227,Service_2,Plumber,2,"""Not happy with the service."""
User_24,Service_14,Bathroom cleaning,2,"""Not happy with the service."""
User_1822,Service_6,Washing Machine Repair,2,"""Excellent service!"""
User_297,Service_2,Plumber,5,"""Good job overall."""
User_1841,Service_1,Electrician,2,"""Excellent service!"""
User_730,Service_4,AC Repair Service,2,"""Could be better."""
User_57,Service_7,Water Purifier Repair,3,"""Excellent service!"""
User_1222,Service_9,Men/kids haircut,4,"""Satisfactory work."""
User_1128,Service_16,Chimney Repair,5,"""Excellent service!"""
User_1464,Service_14,Bathroom cleaning,1,"""Not happy with the service."""
User_151,Service_3,Carpenter,2,"""Could be better."""
User_1743,Service_14,Bathroom cleaning,2,"""Good job overall."""
User_1646,Service_1,Electrician,5,"""Excellent service!"""
User_1551,Service_14,Bathroom cleaning,4,"""Could be better."""
User_498,Service_18,Pest control,4,"""Not happy with the service."""
User_1669,Service_9,Men/kids haircut,1,"""Satisfactory work."""
User_1651,Service_14,Bathroom cleaning,3,"""Excellent service!"""
User_1983,Service_6,Washing Machine Repair,1,"""Excellent service!"""
User_1508,Service_15,Kitchen cleaning,1,"""Excellent service!"""
User_1263,Service_11,Shave/beard grooming,1,"""Good job overall."""
User_1653,Service_4,AC Repair Service,3,"""Excellent service!"""
User_966,Service_14,Bathroom cleaning,3,"""Satisfactory work."""
User_1090,Service_15,Kitchen cleaning,4,"""Satisfactory work."""
User_1404,Service_16,Chimney Repair,3,"""Not happy with the service."""
User_935,Service_2,Plumber,5,"""Good job overall."""
User_1266,Service_3,Carpenter,2,"""Not happy with the service."""
User_1802,Service_3,Carpenter,1,"""Could be better."""
User_1166,Service_4,AC Repair Service,2,"""Could be better."""
User_350,Service_5,Refrigerator Repair,1,"""Excellent service!"""
User_246,Service_19,Full home cleaning,1,"""Could be better."""
User_80,Service_18,Pest control,2,"""Excellent service!"""
User_1303,Service_13,Massage,4,"""Excellent service!"""
User_1918,Service_14,Bathroom cleaning,5,"""Satisfactory work."""
User_721,Service_3,Carpenter,5,"""Could be better."""
User_1958,Service_2,Plumber,3,"""Satisfactory work."""
User_974,Service_9,Men/kids haircut,3,"""Could be better."""
User_944,Service_16,Chimney Repair,5,"""Excellent service!"""
User_452,Service_1,Electrician,1,"""Not happy with the service."""
User_1868,Service_11,Shave/beard grooming,4,"""Good job overall."""
User_1347,Service_16,Chimney Repair,1,"""Could be better."""
User_209,Service_17,Laptop Repair,5,"""Not happy with the service."""
User_210,Service_8,Microwave Repair,1,"""Good job overall."""
User_328,Service_16,Chimney Repair,3,"""Good job overall."""
User_1330,Service_19,Full home cleaning,4,"""Excellent service!"""
User_1249,Service_3,Carpenter,2,"""Good job overall."""
User_51,Service_13,Massage,5,"""Satisfactory work."""
User_684,Service_18,Pest control,3,"""Excellent service!"""
User_1605,Service_19,Full home cleaning,5,"""Could be better."""
User_557,Service_7,Water Purifier Repair,2,"""Could be better."""
User_1412,Service_18,Pest control,5,"""Not happy with the service."""
User_793,Service_17,Laptop Repair,2,"""Satisfactory work."""
User_1979,Service_11,Shave/beard grooming,1,"""Good job overall."""
User_826,Service_17,Laptop Repair,5,"""Good job overall."""
User_206,Service_13,Massage,1,"""Not happy with the service."""
User_870,Service_8,Microwave Repair,5,"""Satisfactory work."""
User_1546,Service_2,Plumber,2,"""Not happy with the service."""
User_1155,Service_14,Bathroom cleaning,5,"""Excellent service!"""
User_1625,Service_2,Plumber,3,"""Good job overall."""
User_110,Service_19,Full home cleaning,5,"""Good job overall."""
User_62,Service_9,Men/kids haircut,2,"""Could be better."""
User_192,Service_3,Carpenter,4,"""Good job overall."""
User_1287,Service_18,Pest control,5,"""Good job overall."""
User_799,Service_1,Electrician,1,"""Could be better."""
User_224,Service_4,AC Repair Service,5,"""Good job overall."""
User_1146,Service_12,Hair colour,2,"""Excellent service!"""
User_1014,Service_14,Bathroom cleaning,3,"""Good job overall."""
User_716,Service_7,Water Purifier Repair,3,"""Not happy with the service."""
User_156,Service_6,Washing Machine Repair,5,"""Satisfactory work."""
User_261,Service_4,AC Repair Service,3,"""Could be better."""
User_1964,Service_6,Washing Machine Repair,1,"""Could be better."""
User_1703,Service_2,Plumber,5,"""Not happy with the service."""
User_1815,Service_12,Hair colour,1,"""Not happy with the service."""
User_617,Service_6,Washing Machine Repair,1,"""Could be better."""
User_270,Service_7,Water Purifier Repair,3,"""Excellent service!"""
User_345,Service_3,Carpenter,5,"""Could be better."""
User_702,Service_14,Bathroom cleaning,5,"""Not happy with the service."""
User_575,Service_5,Refrigerator Repair,5,"""Good job overall."""
User_1168,Service_12,Hair colour,3,"""Satisfactory work."""
User_109,Service_8,Microwave Repair,2,"""Could be better."""
User_1640,Service_11,Shave/beard grooming,1,"""Could be better."""
User_657,Service_15,Kitchen cleaning,5,"""Satisfactory work."""
User_443,Service_18,Pest control,4,"""Could be better."""
User_1290,Service_18,Pest control,5,"""Not happy with the service."""
User_948,Service_5,Refrigerator Repair,5,"""Not happy with the service."""
User_550,Service_6,Washing Machine Repair,1,"""Good job overall."""
User_217,Service_6,Washing Machine Repair,5,"""Excellent service!"""
User_1536,Service_4,AC Repair Service,5,"""Not happy with the service."""
User_1239,Service_5,Refrigerator Repair,3,"""Could be better."""
User_322,Service_10,Face care,2,"""Not happy with the service."""
User_3,Service_20,Home painting,2,"""Good job overall."""
User_1877,Service_5,Refrigerator Repair,3,"""Excellent service!"""
User_1239,Service_15,Kitchen cleaning,5,"""Satisfactory work."""
User_633,Service_17,Laptop Repair,1,"""Excellent service!"""
User_1927,Service_2,Plumber,1,"""Not happy with the service."""
User_1388,Service_1,Electrician,1,"""Not happy with the service."""
User_297,Service_3,Carpenter,3,"""Could be better."""
User_523,Service_14,Bathroom cleaning,5,"""Not happy with the service."""
User_1412,Service_14,Bathroom cleaning,1,"""Could be better."""
User_1142,Service_17,Laptop Repair,5,"""Good job overall."""
User_430,Service_18,Pest control,1,"""Good job overall."""
User_1727,Service_9,Men/kids haircut,5,"""Good job overall."""
User_1568,Service_4,AC Repair Service,4,"""Excellent service!"""
User_1063,Service_20,Home painting,1,"""Good job overall."""
User_821,Service_11,Shave/beard grooming,5,"""Good job overall."""
User_1876,Service_15,Kitchen cleaning,4,"""Could be better."""
User_1048,Service_16,Chimney Repair,2,"""Satisfactory work."""
User_751,Service_8,Microwave Repair,5,"""Excellent service!"""
User_408,Service_10,Face care,2,"""Excellent service!"""
User_1712,Service_14,Bathroom cleaning,5,"""Could be better."""
User_520,Service_5,Refrigerator Repair,4,"""Good job overall."""
User_784,Service_19,Full home cleaning,1,"""Good job overall."""
User_1437,Service_6,Washing Machine Repair,5,"""Could be better."""
User_797,Service_18,Pest control,5,"""Could be better."""
User_132,Service_15,Kitchen cleaning,1,"""Excellent service!"""
User_677,Service_11,Shave/beard grooming,3,"""Satisfactory work."""
User_373,Service_13,Massage,4,"""Satisfactory work."""
User_1670,Service_18,Pest control,4,"""Excellent service!"""
User_1956,Service_9,Men/kids haircut,3,"""Satisfactory work."""
User_451,Service_20,Home painting,1,"""Excellent service!"""
User_1638,Service_3,Carpenter,4,"""Excellent service!"""
User_1327,Service_5,Refrigerator Repair,3,"""Excellent service!"""
User_305,Service_4,AC Repair Service,4,"""Excellent service!"""
User_481,Service_8,Microwave Repair,3,"""Satisfactory work."""
User_33,Service_13,Massage,1,"""Good job overall."""
User_906,Service_18,Pest control,4,"""Excellent service!"""
User_734,Service_9,Men/kids haircut,3,"""Could be better."""
User_1374,Service_14,Bathroom cleaning,1,"""Excellent service!"""
User_953,Service_11,Shave/beard grooming,3,"""Satisfactory work."""
User_1393,Service_2,Plumber,1,"""Not happy with the service."""
User_1710,Service_19,Full home cleaning,1,"""Good job overall."""
User_1146,Service_15,Kitchen cleaning,1,"""Excellent service!"""
User_414,Service_17,Laptop Repair,5,"""Not happy with the service."""
User_701,Service_17,Laptop Repair,4,"""Not happy with the service."""
User_654,Service_13,Massage,5,"""Excellent service!"""
User_1008,Service_14,Bathroom cleaning,2,"""Could be better."""
User_1304,Service_9,Men/kids haircut,1,"""Good job overall."""
User_1088,Service_12,Hair colour,1,"""Could be better."""
User_169,Service_13,Massage,4,"""Excellent service!"""
User_1302,Service_19,Full home cleaning,1,"""Could be better."""
User_1596,Service_18,Pest control,4,"""Could be better."""
User_586,Service_4,AC Repair Service,2,"""Could be better."""
User_717,Service_1,Electrician,5,"""Not happy with the service."""
User_966,Service_20,Home painting,4,"""Could be better."""
User_327,Service_18,Pest control,4,"""Could be better."""
User_1461,Service_10,Face care,1,"""Good job overall."""
User_1665,Service_1,Electrician,4,"""Excellent service!"""
User_750,Service_13,Massage,3,"""Could be better."""
User_398,Service_14,Bathroom cleaning,4,"""Good job overall."""
User_913,Service_8,Microwave Repair,5,"""Satisfactory work."""
User_498,Service_14,Bathroom cleaning,4,"""Satisfactory work."""
User_551,Service_6,Washing Machine Repair,4,"""Satisfactory work."""
User_1753,Service_3,Carpenter,2,"""Excellent service!"""
User_435,Service_15,Kitchen cleaning,5,"""Good job overall."""
User_1429,Service_16,Chimney Repair,5,"""Good job overall."""
User_475,Service_1,Electrician,4,"""Excellent service!"""
User_1809,Service_15,Kitchen cleaning,5,"""Satisfactory work."""
User_112,Service_10,Face care,3,"""Could be better."""
User_1007,Service_9,Men/kids haircut,2,"""Could be better."""
User_1765,Service_12,Hair colour,3,"""Good job overall."""
User_1930,Service_1,Electrician,4,"""Satisfactory work."""
User_458,Service_10,Face care,5,"""Excellent service!"""
User_1684,Service_11,Shave/beard grooming,1,"""Excellent service!"""
User_1156,Service_1,Electrician,2,"""Not happy with the service."""
User_368,Service_15,Kitchen cleaning,2,"""Satisfactory work."""
User_47,Service_17,Laptop Repair,2,"""Not happy with the service."""
User_841,Service_17,Laptop Repair,3,"""Satisfactory work."""
User_1016,Service_14,Bathroom cleaning,4,"""Could be better."""
User_1546,Service_17,Laptop Repair,4,"""Good job overall."""
User_582,Service_2,Plumber,3,"""Satisfactory work."""
User_664,Service_10,Face care,2,"""Satisfactory work."""
User_504,Service_10,Face care,3,"""Not happy with the service."""
User_481,Service_5,Refrigerator Repair,2,"""Excellent service!"""
User_1082,Service_13,Massage,4,"""Could be better."""
User_772,Service_2,Plumber,3,"""Good job overall."""
User_882,Service_8,Microwave Repair,4,"""Excellent service!"""
User_1343,Service_11,Shave/beard grooming,4,"""Could be better."""
User_1431,Service_15,Kitchen cleaning,1,"""Could be better."""
User_295,Service_4,AC Repair Service,3,"""Not happy with the service."""
User_1914,Service_16,Chimney Repair,1,"""Good job overall."""
User_1149,Service_9,Men/kids haircut,2,"""Satisfactory work."""
User_1992,Service_8,Microwave Repair,4,"""Good job overall."""
User_1573,Service_1,Electrician,5,"""Not happy with the service."""
User_1949,Service_18,Pest control,3,"""Good job overall."""
User_1325,Service_3,Carpenter,2,"""Excellent service!"""
User_736,Service_19,Full home cleaning,3,"""Could be better."""
User_50,Service_4,AC Repair Service,2,"""Satisfactory work."""
User_564,Service_2,Plumber,3,"""Not happy with the service."""
User_212,Service_14,Bathroom cleaning,5,"""Could be better."""
User_1699,Service_12,Hair colour,3,"""Excellent service!"""
User_1032,Service_6,Washing Machine Repair,4,"""Could be better."""
User_1793,Service_20,Home painting,5,"""Not happy with the service."""
User_1834,Service_17,Laptop Repair,4,"""Good job overall."""
User_17,Service_2,Plumber,1,"""Good job overall."""
User_472,Service_13,Massage,3,"""Good job overall."""
User_1671,Service_9,Men/kids haircut,5,"""Not happy with the service."""
User_1959,Service_2,Plumber,5,"""Good job overall."""
User_1140,Service_11,Shave/beard grooming,3,"""Excellent service!"""
User_1102,Service_9,Men/kids haircut,1,"""Satisfactory work."""
User_220,Service_4,AC Repair Service,2,"""Could be better."""
User_423,Service_12,Hair colour,4,"""Satisfactory work."""
User_1928,Service_9,Men/kids haircut,2,"""Could be better."""
User_1172,Service_20,Home painting,5,"""Satisfactory work."""
User_6,Service_2,Plumber,5,"""Satisfactory work."""
User_1503,Service_6,Washing Machine Repair,4,"""Excellent service!"""
User_683,Service_7,Water Purifier Repair,5,"""Excellent service!"""
User_1602,Service_17,Laptop Repair,4,"""Good job overall."""
User_1373,Service_14,Bathroom cleaning,3,"""Excellent service!"""
User_606,Service_14,Bathroom cleaning,2,"""Not happy with the service."""
User_1826,Service_15,Kitchen cleaning,4,"""Not happy with the service."""
User_778,Service_6,Washing Machine Repair,3,"""Satisfactory work."""
User_654,Service_6,Washing Machine Repair,1,"""Good job overall."""
User_1369,Service_9,Men/kids haircut,5,"""Excellent service!"""
User_1058,Service_15,Kitchen cleaning,1,"""Good job overall."""
User_405,Service_12,Hair colour,3,"""Could be better."""
User_1210,Service_10,Face care,3,"""Excellent service!"""
User_529,Service_3,Carpenter,3,"""Excellent service!"""
User_1590,Service_3,Carpenter,5,"""Could be better."""
User_163,Service_11,Shave/beard grooming,4,"""Satisfactory work."""
User_1894,Service_20,Home painting,4,"""Excellent service!"""
User_370,Service_10,Face care,3,"""Excellent service!"""
User_49,Service_20,Home painting,4,"""Could be better."""
User_1271,Service_7,Water Purifier Repair,3,"""Good job overall."""
User_1058,Service_2,Plumber,2,"""Satisfactory work."""
User_11,Service_16,Chimney Repair,2,"""Satisfactory work."""
User_1043,Service_19,Full home cleaning,5,"""Satisfactory work."""
User_287,Service_12,Hair colour,3,"""Satisfactory work."""
User_1669,Service_11,Shave/beard grooming,1,"""Good job overall."""
User_1679,Service_6,Washing Machine Repair,4,"""Satisfactory work."""
User_1999,Service_9,Men/kids haircut,5,"""Could be better."""
User_301,Service_5,Refrigerator Repair,3,"""Satisfactory work."""
User_62,Service_20,Home painting,5,"""Excellent service!"""
User_342,Service_12,Hair colour,3,"""Good job overall."""
User_1073,Service_14,Bathroom cleaning,4,"""Satisfactory work."""
User_837,Service_19,Full home cleaning,5,"""Excellent service!"""
User_1560,Service_18,Pest control,3,"""Not happy with the service."""
User_747,Service_8,Microwave Repair,1,"""Excellent service!"""
User_292,Service_8,Microwave Repair,2,"""Satisfactory work."""
User_127,Service_2,Plumber,5,"""Not happy with the service."""
User_1938,Service_15,Kitchen cleaning,4,"""Excellent service!"""
User_246,Service_17,Laptop Repair,2,"""Not happy with the service."""
User_1716,Service_17,Laptop Repair,2,"""Good job overall."""
User_1911,Service_4,AC Repair Service,3,"""Excellent service!"""
User_116,Service_9,Men/kids haircut,5,"""Could be better."""
User_1891,Service_5,Refrigerator Repair,4,"""Good job overall."""
User_549,Service_12,Hair colour,4,"""Not happy with the service."""
User_1343,Service_3,Carpenter,1,"""Good job overall."""
User_285,Service_18,Pest control,1,"""Satisfactory work."""
User_1974,Service_2,Plumber,5,"""Not happy with the service."""
User_1190,Service_14,Bathroom cleaning,5,"""Excellent service!"""
User_785,Service_19,Full home cleaning,1,"""Could be better."""
User_1064,Service_16,Chimney Repair,5,"""Satisfactory work."""
User_1859,Service_2,Plumber,3,"""Satisfactory work."""
User_832,Service_8,Microwave Repair,3,"""Could be better."""
User_569,Service_17,Laptop Repair,3,"""Excellent service!"""
User_776,Service_16,Chimney Repair,2,"""Could be better."""
User_1541,Service_13,Massage,3,"""Not happy with the service."""
User_1705,Service_5,Refrigerator Repair,2,"""Not happy with the service."""
User_1226,Service_12,Hair colour,4,"""Could be better."""
User_207,Service_18,Pest control,3,"""Excellent service!"""
User_158,Service_4,AC Repair Service,1,"""Satisfactory work."""
User_1953,Service_8,Microwave Repair,2,"""Could be better."""
User_168,Service_11,Shave/beard grooming,4,"""Could be better."""
User_1735,Service_15,Kitchen cleaning,3,"""Satisfactory work."""
User_948,Service_14,Bathroom cleaning,5,"""Good job overall."""
User_1410,Service_16,Chimney Repair,1,"""Could be better."""
User_229,Service_8,Microwave Repair,1,"""Satisfactory work."""
User_1772,Service_6,Washing Machine Repair,5,"""Satisfactory work."""
User_904,Service_1,Electrician,4,"""Excellent service!"""
User_37,Service_11,Shave/beard grooming,1,"""Good job overall."""
