"﻿Weather,Subservice,City,Service,Price"
"Fine,New internal wiring (per 5m),Ahemdabad,Refrigerator Repair,400.35"
"Extreme,Switch/socket replacement,Lucknow,Pest control,320.19"
"Extreme,Tap replacement,Rishikesh,Shave/beard grooming,59.93"
"Extreme,Wash basin installation,Lucknow,Water Purifier Repair,260.82"
"Fine,Hot & cold water mixer repair,Delhi,Microwave Repair,185.33"
"Fine,New wiring with casing (per 5m),Noida,Washing Machine Repair,215.66"
"Extreme,Tap repair,Noida,Laptop Repair,460.16"
"Extreme,PCB Repair,Jaipur,Home painting,86.86"
"Extreme,Decorative light & bed lamp installation,Ahemdabad,Shave/beard grooming,248.34"
"Fine,Ceiling fan regulator replacement,Delhi,Hair colour,287.54"
"Fine,Timer,Jaipur,Electrician,204.83"
"Extreme,Wash Basin Leakage Repair,Lucknow,Microwave Repair,363.79"
"Fine,Four Pole MCB Installation,Jaipur,Face care,420.19"
"Extreme,Fan uninstallation,Ahemdabad,Hair colour,410.02"
"Fine,Single battery inverter installation,Lucknow,Hair colour,179.82"
"Fine,Decorative Lights Uninstallation (per 5m),Haridwar,Hair colour,286.95"
"Extreme,3 Phase changeover switch installation,Lucknow,Chimney Repair,224.66"
"Fine,Inverter servicing,Dehradun,Laptop Repair,482.75"
"Extreme,Waste pipe leakage,Jaipur,Laptop Repair,317.17"
"Fine,Bulb,Noida,Shave/beard grooming,185"
"Fine,Decorative Lights Installation (per 10m),Noida,AC Repair Service,79.26"
"Fine,Fuse 5 / 15 Amp,Ahemdabad,Kitchen cleaning,337.21"
"Fine,Balcony drain blockage removal,Noida,Home painting,278.28"
"Extreme,Switch/socket replacement,Jaipur,Home painting,361.62"
"Extreme,Tap replacement,Dehradun,Washing Machine Repair,413.8"
"Fine,Geyser Installation,Dehradun,AC Repair Service,411.87"
"Fine,Switchboard repair,Haridwar,Refrigerator Repair,390.22"
"Fine,MCB fuse replacement,Delhi,Plumber,449.47"
"Fine,Bulb,Jaipur,Full home cleaning,382.77"
"Extreme,Decorative Lights Uninstallation (per 5m),Jaipur,Water Purifier Repair,140.66"
"Extreme,Geyser Installation,Ahemdabad,AC Repair Service,330.28"
"Extreme,Tap installation,Jaipur,Full home cleaning,72.24"
"Extreme,Fan replacement,Ahemdabad,Home painting,312.24"
"Extreme,Shower installation (ceiling mounted),Dehradun,Plumber,103.92"
"Fine,Hot & cold water mixer installation,Noida,Water Purifier Repair,306.64"
"Fine,Bulb Holder Installation,Jaipur,Face care,203.71"
"Extreme,Bulb,Rishikesh,Shave/beard grooming,356.04"
"Fine,Fan replacement,Ahemdabad,Pest control,450.07"
"Fine,Four Pole MCB Installation,Jaipur,AC Repair Service,394.57"
"Fine,3 Phase changeover switch installation,Ahemdabad,Washing Machine Repair,309.91"
"Extreme,Minor fittings installation,Haridwar,Pest control,492.57"
"Fine,New wiring with casing (per 5m),Ahemdabad,Kitchen cleaning,61.33"
"Extreme,Fan replacement,Lucknow,Carpenter,193.68"
"Extreme,Geyser Installation,Haridwar,Kitchen cleaning,53.78"
"Extreme,Mini home theater installation,Jaipur,Bathroom cleaning,321.26"
"Fine,TV uninstallation,Jaipur,Pest control,70.54"
"Fine,Sub meter installation,Ahemdabad,Carpenter,373.83"
"Extreme,Bulb,Noida,Hair colour,280.94"
"Extreme,Double Pole MCB Installation,Rishikesh,Laptop Repair,108.17"
"Fine,Room heater repair,Rishikesh,Washing Machine Repair,310.85"
"Fine,Wash Basin Leakage Repair,Noida,Plumber,458.71"
"Fine,Double Pole MCB Installation,Lucknow,Microwave Repair,311.23"
"Extreme,Ceiling Fan Installation,Rishikesh,Water Purifier Repair,129.4"
"Extreme,Material Procurement Charges,Rishikesh,Shave/beard grooming,111.05"
"Extreme,Decorative Lights Uninstallation (per 5m),Dehradun,Laptop Repair,397.48"
"Extreme,Bulb Holder Installation,Ahemdabad,Chimney Repair,353.8"
"Fine,Timer,Jaipur,Chimney Repair,364.56"
"Extreme,Inverter servicing,Haridwar,Full home cleaning,416.59"
"Fine,Bulb,Haridwar,Kitchen cleaning,213.8"
"Fine,Mini home theater installation,Jaipur,Face care,417.26"
"Extreme,Bulb holder installation,Jaipur,Chimney Repair,362.02"
"Fine,Chandelier installation (more than 6 bulbs),Delhi,Kitchen cleaning,173.43"
"Fine,Drainage pipe blockage removal,Delhi,Washing Machine Repair,370.05"
"Extreme,Ceiling fan regulator replacement,Haridwar,Electrician,263.28"
"Fine,Tap repair,Delhi,Carpenter,244.15"
"Fine,Decorative Lights Installation (per 5m),Delhi,Refrigerator Repair,425.35"
"Fine,Bulb,Haridwar,Plumber,66.88"
"Extreme,Decorative ceiling fan installation,Noida,Washing Machine Repair,428.02"
"Extreme,Waste pipe leakage,Lucknow,Water Purifier Repair,278.14"
"Fine,Fan uninstallation,Delhi,Kitchen cleaning,173.9"
"Fine,Decorative Lights Installation (per 5m),Ahemdabad,Refrigerator Repair,85.74"
"Fine,Ceiling fan regulator replacement,Rishikesh,Chimney Repair,318.5"
"Extreme,TV installation (up to 48 inches),Dehradun,Face care,146.91"
"Fine,Decorative Lights Installation (per 10m),Haridwar,AC Repair Service,451.66"
"Extreme,Switch/socket replacement,Ahemdabad,Plumber,338.08"
"Fine,Triple Pole MCB Installation,Delhi,Laptop Repair,458.77"
"Extreme,Tubelight Installation/Repair,Dehradun,Carpenter,124.12"
"Extreme,Inverter fuse replacement,Rishikesh,Bathroom cleaning,278.56"
"Fine,Single pole MCB installation,Noida,Chimney Repair,325.25"
"Extreme,Bulbs installation (upto 5 bulbs),Rishikesh,Hair colour,56.5"
"Fine,Single pole MCB installation,Ahemdabad,Face care,119.69"
"Fine,Decorative light & bed lamp installation,Delhi,Washing Machine Repair,252.25"
"Fine,Fan replacement,Rishikesh,Hair colour,364.36"
"Fine,Inverter PCB Card Replacement,Noida,Microwave Repair,326.09"
"Fine,Lights Uninstallation (per 20 m),Haridwar,Bathroom cleaning,368.05"
"Fine,Inverter fuse replacement,Noida,Full home cleaning,86.12"
"Fine,Material Procurement Charges,Haridwar,Microwave Repair,89.04"
"Extreme,Bulbs installation (upto 5 bulbs),Rishikesh,AC Repair Service,249.96"
"Fine,Minor fittings installation,Lucknow,Men/kids haircut,81.98"
"Extreme,Four Pole MCB Installation,Rishikesh,Hair colour,424.99"
"Fine,Inverter servicing,Haridwar,Massage,183.93"
"Fine,TV installation (up to 48 inches),Rishikesh,Refrigerator Repair,320.38"
"Extreme,Double Pole MCB Installation,Ahemdabad,Bathroom cleaning,367.32"
"Extreme,Shower installation (ceiling mounted),Jaipur,Shave/beard grooming,114.67"
"Fine,Geyser Installation,Lucknow,Pest control,61.5"
"Fine,Door bell replacement,Jaipur,Chimney Repair,228.5"
"Extreme,Lantern Installation,Rishikesh,Home painting,143.17"
"Extreme,New wiring without casing (per 5m),Haridwar,Laptop Repair,390.75"
"Extreme,Geyser Uninstallation,Haridwar,Carpenter,480.41"
"Extreme,Thermal Cut Off (TCO),Dehradun,Laptop Repair,361.14"
"Extreme,Double battery inverter installation,Delhi,Home painting,134.09"
"Fine,Decorative ceiling fan installation,Noida,Microwave Repair,314.68"
"Fine,Decorative Lights Installation (per 5m),Jaipur,Face care,64.16"
"Fine,Ceiling fan regulator replacement,Haridwar,Plumber,488.09"
"Extreme,Decorative ceiling fan installation,Haridwar,Full home cleaning,179.31"
"Fine,Wash Basin Leakage Repair,Haridwar,AC Repair Service,260.96"
"Fine,Decorative light & bed lamp installation,Ahemdabad,Kitchen cleaning,123.16"
"Extreme,Double Pole MCB Installation,Lucknow,Home painting,84.82"
"Fine,AC switchbox installation,Lucknow,Pest control,331.71"
"Extreme,Single pole MCB installation,Rishikesh,Bathroom cleaning,365.32"
"Extreme,Decorative ceiling fan installation,Dehradun,Laptop Repair,469.67"
"Fine,Mini home theater installation,Ahemdabad,Washing Machine Repair,336.48"
"Extreme,Cavity sensor,Jaipur,Microwave Repair,480.54"
"Extreme,TV uninstallation,Noida,Hair colour,301.15"
"Extreme,Sub meter installation,Lucknow,Pest control,362.33"
"Extreme,Geyser Installation,Jaipur,AC Repair Service,77.92"
"Fine,Chandelier installation (more than 6 bulbs),Rishikesh,Bathroom cleaning,484.25"
"Fine,Hot & cold water mixer installation,Lucknow,Kitchen cleaning,284.57"
"Extreme,Replace CFL to LED,Noida,Plumber,251.81"
"Fine,Fan uninstallation,Rishikesh,Refrigerator Repair,259.01"
"Extreme,Switchboard repair,Delhi,Chimney Repair,62.92"
"Extreme,Inverter servicing,Ahemdabad,Hair colour,451.16"
"Extreme,Decorative Lights Installation (per 15m),Delhi,Washing Machine Repair,450.96"
"Extreme,Timer,Dehradun,Chimney Repair,477.52"
"Fine,Switch/socket replacement,Delhi,AC Repair Service,293.86"
"Fine,Fan replacement,Ahemdabad,Pest control,356.94"
"Extreme,Fuse 5 / 15 Amp,Ahemdabad,Men/kids haircut,428.57"
"Fine,Single pole MCB installation,Rishikesh,Refrigerator Repair,278.47"
"Extreme,Geyser Uninstallation,Lucknow,Plumber,356.59"
"Extreme,Material Procurement Charges,Ahemdabad,Microwave Repair,125.03"
"Fine,Stabilizer installation,Noida,Home painting,83.91"
"Extreme,Fan uninstallation,Haridwar,Microwave Repair,145.38"
"Extreme,Timer,Delhi,Chimney Repair,474.03"
"Fine,Decorative ceiling fan installation,Lucknow,Kitchen cleaning,434.81"
"Extreme,New wiring with casing (per 5m),Dehradun,Plumber,314.64"
"Extreme,Double Pole MCB Installation,Haridwar,Full home cleaning,211.13"
"Fine,AC switchbox installation,Noida,Hair colour,122.96"
"Fine,Fan replacement,Noida,Full home cleaning,298.27"
"Extreme,Ceiling fan regulator replacement,Ahemdabad,Home painting,474.41"
"Extreme,Minor fittings installation,Jaipur,Microwave Repair,221.64"
"Extreme,Geyser Uninstallation,Jaipur,Bathroom cleaning,375.61"
"Fine,Triple Pole MCB Installation,Haridwar,Hair colour,225.16"
"Fine,Switch/socket replacement,Delhi,Refrigerator Repair,414.34"
"Fine,Inverter fuse replacement,Rishikesh,Laptop Repair,364.63"
"Extreme,Door bell replacement,Lucknow,Electrician,150.28"
"Extreme,Triple Pole MCB Installation,Lucknow,Carpenter,481.75"
"Fine,Hot & cold water mixer repair,Ahemdabad,Laptop Repair,496.5"
"Extreme,Stabilizer installation,Delhi,Kitchen cleaning,310.32"
"Extreme,Chandelier installation (more than 6 bulbs),Jaipur,Water Purifier Repair,460.94"
"Extreme,Hot & cold water mixer installation,Lucknow,Laptop Repair,423.19"
"Extreme,MCB fuse replacement,Ahemdabad,Laptop Repair,195.79"
"Extreme,Bulbs installation (upto 5 bulbs),Dehradun,Face care,257.92"
"Fine,TV installation (above 48 inches),Noida,Plumber,386.91"
"Fine,AC switchbox installation,Ahemdabad,Home painting,211.12"
"Fine,Double Pole MCB Installation,Lucknow,Laptop Repair,107.54"
"Extreme,Stabilizer installation,Jaipur,Refrigerator Repair,118.39"
"Fine,Chandelier installation (more than 6 bulbs),Rishikesh,Chimney Repair,269.9"
"Fine,Inverter PCB Card Replacement,Jaipur,Electrician,227.39"
"Fine,Timer,Rishikesh,Shave/beard grooming,106.32"
"Fine,Decorative Lights Uninstallation (per 5m),Ahemdabad,Plumber,85.61"
"Extreme,New wiring with casing (per 5m),Lucknow,Washing Machine Repair,152.75"
"Extreme,Double Pole MCB Installation,Haridwar,Chimney Repair,290.01"
"Fine,Double Pole MCB Installation,Rishikesh,Plumber,499.47"
"Fine,Hot & cold water mixer installation,Noida,Bathroom cleaning,116.1"
"Extreme,Bulbs installation (upto 5 bulbs),Lucknow,Bathroom cleaning,426.9"
"Fine,Lights Uninstallation (per 20 m),Lucknow,Pest control,462.7"
"Fine,TV uninstallation,Ahemdabad,Microwave Repair,496.47"
"Extreme,New wiring without casing (per 5m),Lucknow,Microwave Repair,143.12"
"Fine,Switchboard installation,Haridwar,Home painting,84.79"
"Fine,Geyser Uninstallation,Jaipur,Laptop Repair,160.81"
"Fine,Wash basin blockage removal,Delhi,Kitchen cleaning,426.28"
"Fine,Decorative Lights Installation (per 5m),Noida,Electrician,346.48"
"Extreme,Wash Basin Leakage Repair,Delhi,Shave/beard grooming,277.92"
"Fine,Fan repair,Lucknow,Shave/beard grooming,165.12"
"Extreme,3 Phase Changeover Switch Installation,Delhi,Carpenter,82.65"
"Extreme,Hot & cold water mixer repair,Rishikesh,Washing Machine Repair,300.49"
"Fine,Thermal Cut Off (TCO),Ahemdabad,Water Purifier Repair,114.52"
"Fine,TV uninstallation,Ahemdabad,Kitchen cleaning,176.21"
"Extreme,Decorative Lights Installation (per 10m),Delhi,Electrician,279.71"
"Fine,Double Pole MCB Installation,Rishikesh,Bathroom cleaning,437.81"
"Extreme,Fuse 5 / 15 Amp,Lucknow,Carpenter,112.32"
"Extreme,Inverter servicing,Delhi,Electrician,466.17"
"Fine,Single pole MCB installation,Rishikesh,Shave/beard grooming,118.54"
"Extreme,Lantern Installation,Jaipur,Face care,323.71"
"Fine,Chandelier installation (more than 6 bulbs),Ahemdabad,Microwave Repair,288.48"
"Fine,Inverter PCB Card Replacement,Delhi,Pest control,299.47"
"Extreme,Sub meter installation,Delhi,Chimney Repair,397.58"
"Fine,New wiring without casing (per 5m),Jaipur,Water Purifier Repair,140.75"
"Extreme,Minor fittings installation,Noida,AC Repair Service,347.86"
"Extreme,Geyser Uninstallation,Delhi,Shave/beard grooming,191.69"
"Fine,Fan repair,Delhi,Microwave Repair,69.71"
"Fine,Wash basin installation,Dehradun,Chimney Repair,432.39"
"Extreme,Timer,Delhi,Refrigerator Repair,131.33"
"Extreme,Inverter servicing,Ahemdabad,Bathroom cleaning,163.54"
"Fine,Fuse 5 / 15 Amp,Dehradun,AC Repair Service,116.65"
"Fine,New internal wiring (per 5m),Lucknow,Kitchen cleaning,351.22"
"Extreme,Switch Membrane / Key Pad Repair,Dehradun,Chimney Repair,319.97"
"Extreme,Wash Basin Leakage Repair,Dehradun,Washing Machine Repair,361.18"
"Extreme,Triple Pole MCB Installation,Noida,Full home cleaning,79.14"
"Fine,Ceiling fan regulator replacement,Rishikesh,Refrigerator Repair,455.85"
"Extreme,Timer,Noida,Massage,254.48"
"Extreme,TV installation (above 48 inches),Noida,Pest control,138.15"
"Extreme,Decorative light & bed lamp installation,Jaipur,Face care,237.44"
"Fine,Mini home theater installation,Haridwar,Plumber,206.09"
"Fine,Triple Pole MCB Installation,Haridwar,Pest control,497.33"
"Fine,Inverter servicing,Ahemdabad,Kitchen cleaning,454.24"
"Fine,Waste pipe leakage,Haridwar,Home painting,339.89"
"Fine,Stabilizer installation,Lucknow,Chimney Repair,480.66"
"Extreme,Wash basin blockage removal,Haridwar,Laptop Repair,208.09"
"Extreme,Fan Coil Repair,Jaipur,Microwave Repair,431.06"
"Fine,Door bell replacement,Lucknow,Shave/beard grooming,202.16"
"Extreme,Decorative Lights Installation (per 15m),Rishikesh,Shave/beard grooming,201.87"
"Fine,Single battery inverter installation,Ahemdabad,Water Purifier Repair,401.46"
"Fine,TV installation (above 48 inches),Lucknow,Water Purifier Repair,71.68"
"Extreme,Switch/socket replacement,Noida,Men/kids haircut,329.72"
"Fine,Shower installation (wall mounted/ hand-held),Ahemdabad,Microwave Repair,475.75"
"Fine,New wiring with casing (per 5m),Rishikesh,Kitchen cleaning,387.69"
"Fine,Timer,Jaipur,Pest control,220.65"
"Extreme,Lantern Installation,Delhi,Water Purifier Repair,101.61"
"Fine,Thermal Cut Off (TCO),Haridwar,Massage,341.34"
"Extreme,Switch Membrane / Key Pad Repair,Rishikesh,Massage,460.28"
"Extreme,Triple Pole MCB Installation,Jaipur,Laptop Repair,244.23"
"Fine,Inverter fuse replacement,Jaipur,Hair colour,416.53"
"Extreme,Lights Uninstallation (per 20 m),Ahemdabad,Hair colour,284.32"
"Extreme,Inverter fuse replacement,Noida,Water Purifier Repair,476.18"
"Fine,Decorative light & bed lamp installation,Rishikesh,Massage,336.01"
"Extreme,Chandelier installation (more than 6 bulbs),Ahemdabad,Chimney Repair,133.87"
"Fine,Fan replacement,Dehradun,Microwave Repair,478.76"
"Extreme,MCB fuse replacement,Dehradun,Electrician,193.27"
"Extreme,PCB Repair,Noida,Men/kids haircut,226.81"
"Fine,Inverter PCB Card Replacement,Jaipur,Pest control,280.32"
"Extreme,Minor fittings installation,Jaipur,Full home cleaning,267.36"
"Fine,Geyser Uninstallation,Jaipur,Massage,74.12"
"Extreme,Material Procurement Charges,Noida,Shave/beard grooming,179.1"
"Fine,Fan Coil Repair,Rishikesh,Full home cleaning,74.25"
"Fine,Single pole MCB installation,Ahemdabad,Refrigerator Repair,375.13"
"Fine,Bulb holder installation,Rishikesh,Washing Machine Repair,438.32"
"Fine,TV installation (above 48 inches),Lucknow,Chimney Repair,216.02"
"Extreme,TV uninstallation,Ahemdabad,Microwave Repair,213.67"
"Fine,Fan uninstallation,Haridwar,Shave/beard grooming,398.21"
"Fine,Double battery inverter installation,Lucknow,Pest control,129.86"
"Extreme,Chandelier installation (upto 6 bulbs),Noida,Laptop Repair,367.7"
"Extreme,Decorative light & bed lamp installation,Jaipur,Hair colour,298.49"
"Fine,Wash basin blockage removal,Jaipur,Men/kids haircut,464.82"
"Extreme,Stabilizer installation,Delhi,Water Purifier Repair,435.69"
"Extreme,TV installation (up to 48 inches),Lucknow,Full home cleaning,400.55"
"Extreme,New internal wiring (per 5m),Ahemdabad,Bathroom cleaning,312.27"
"Fine,Stabilizer installation,Dehradun,Chimney Repair,233.71"
"Extreme,Lights Uninstallation (per 20 m),Delhi,Microwave Repair,101.58"
"Extreme,Geyser Uninstallation,Haridwar,Pest control,470.14"
"Extreme,Wash basin installation,Jaipur,Chimney Repair,217.88"
"Extreme,Ceiling Fan Installation,Rishikesh,Kitchen cleaning,287.49"
"Fine,Wash basin installation,Ahemdabad,Face care,233.56"
"Fine,Ceiling Fan Installation,Ahemdabad,Kitchen cleaning,492.3"
"Extreme,Room heater repair,Jaipur,Shave/beard grooming,492.08"
"Extreme,Fan uninstallation,Dehradun,Face care,90.4"
"Extreme,Decorative Lights Installation (per 15m),Ahemdabad,Water Purifier Repair,326.22"
"Fine,Wash basin blockage removal,Lucknow,Laptop Repair,474.66"
"Extreme,Switchboard installation,Dehradun,Full home cleaning,268.07"
"Fine,Wash basin blockage removal,Jaipur,Microwave Repair,365.61"
"Fine,Shower installation (ceiling mounted),Delhi,AC Repair Service,227.89"
"Fine,Sub meter installation,Rishikesh,Water Purifier Repair,145.77"
"Fine,Switch Membrane / Key Pad Repair,Lucknow,Shave/beard grooming,292.57"
"Extreme,Single pole MCB installation,Haridwar,Shave/beard grooming,238.42"
"Fine,Fan repair,Lucknow,Carpenter,264.68"
"Extreme,Bulb Holder Installation,Lucknow,Face care,386.79"
"Extreme,Bulb holder installation,Jaipur,Massage,88.56"
"Extreme,Material Procurement Charges,Rishikesh,Hair colour,496.86"
"Fine,Mini home theater installation,Ahemdabad,Massage,363.77"
"Fine,TV installation (above 48 inches),Ahemdabad,Bathroom cleaning,163.57"
"Extreme,Inverter servicing,Dehradun,Bathroom cleaning,463.95"
"Fine,Geyser Uninstallation,Jaipur,Washing Machine Repair,79.4"
"Extreme,Shower installation (wall mounted/ hand-held),Lucknow,Carpenter,399.38"
"Extreme,Bulb holder installation,Delhi,Electrician,320.96"
"Fine,Fan Coil Repair,Jaipur,Massage,184.44"
"Fine,Hot & cold water mixer repair,Ahemdabad,Kitchen cleaning,292.37"
"Fine,Double battery inverter installation,Jaipur,Chimney Repair,90.4"
"Extreme,AC switchbox installation,Jaipur,Microwave Repair,471.71"
"Extreme,Ceiling fan regulator replacement,Ahemdabad,Bathroom cleaning,415.75"
"Fine,New internal wiring (per 5m),Dehradun,Kitchen cleaning,471.99"
"Fine,Stabilizer installation,Rishikesh,Massage,397.31"
"Extreme,Inverter PCB Card Replacement,Haridwar,Plumber,201.99"
"Extreme,AC switchbox installation,Ahemdabad,Kitchen cleaning,418.64"
"Extreme,Timer,Ahemdabad,Carpenter,495.18"
"Fine,Switch/socket replacement,Rishikesh,Massage,111.55"
"Fine,Replace CFL to LED,Lucknow,Face care,337.99"
"Extreme,New wiring without casing (per 5m),Ahemdabad,Kitchen cleaning,291.53"
"Fine,Wash Basin Leakage Repair,Haridwar,Shave/beard grooming,377.71"
"Fine,Decorative ceiling fan installation,Noida,Massage,106.04"
"Fine,Fan replacement,Ahemdabad,Pest control,499.09"
"Fine,MCB fuse replacement,Jaipur,AC Repair Service,347.41"
"Fine,Hot & cold water mixer repair,Rishikesh,Face care,461.63"
"Fine,Replace CFL to LED,Jaipur,AC Repair Service,207.85"
"Extreme,TV installation (above 48 inches),Noida,Home painting,399.4"
"Fine,Hot & cold water mixer installation,Haridwar,Plumber,391.65"
"Fine,Room heater repair,Noida,Shave/beard grooming,475.7"
"Fine,Geyser Uninstallation,Jaipur,Home painting,250.94"
"Extreme,TV installation (above 48 inches),Delhi,Hair colour,476.39"
"Extreme,Fan repair,Lucknow,Face care,443.4"
"Extreme,Geyser Uninstallation,Haridwar,Home painting,75.97"
"Extreme,New internal wiring (per 5m),Ahemdabad,Kitchen cleaning,141.19"
"Fine,Geyser Installation,Delhi,Microwave Repair,421.19"
"Fine,3 Phase Changeover Switch Installation,Noida,Massage,53.7"
"Extreme,Lights Uninstallation (per 20 m),Rishikesh,Full home cleaning,280.43"
"Fine,Tubelight Installation/Repair,Jaipur,Microwave Repair,133.17"
"Fine,Replace CFL to LED,Jaipur,Hair colour,243.72"
"Extreme,Wash basin installation,Dehradun,Shave/beard grooming,311.55"
"Fine,Timer,Delhi,Laptop Repair,143.98"
"Fine,Minor fittings installation,Lucknow,Pest control,228.51"
"Fine,Door bell replacement,Jaipur,Washing Machine Repair,344.11"
"Fine,Stabilizer installation,Noida,Shave/beard grooming,464.45"
"Fine,Mini home theater installation,Delhi,Microwave Repair,246.99"
"Fine,Shower installation (ceiling mounted),Ahemdabad,Face care,480.81"
"Fine,Geyser Uninstallation,Jaipur,Pest control,164.5"
"Fine,Door bell installation,Ahemdabad,Kitchen cleaning,128.63"
"Extreme,Bulbs installation (upto 5 bulbs),Dehradun,Men/kids haircut,281.45"
"Extreme,Inverter fuse replacement,Delhi,Hair colour,275.46"
"Fine,Fan replacement,Lucknow,Microwave Repair,287.01"
"Fine,Lantern Installation,Rishikesh,Electrician,104.68"
"Fine,Wash basin blockage removal,Delhi,Hair colour,298.88"
"Extreme,TV installation (up to 48 inches),Delhi,Chimney Repair,114.15"
"Extreme,Material Procurement Charges,Lucknow,Refrigerator Repair,282.89"
"Fine,Timer,Haridwar,Laptop Repair,165.55"
"Extreme,Ceiling Fan Installation,Delhi,Face care,240.17"
"Extreme,Drainage pipe blockage removal,Haridwar,Men/kids haircut,91.2"
"Fine,Switchboard installation,Rishikesh,Chimney Repair,412.11"
"Extreme,PCB Repair,Rishikesh,Chimney Repair,470.41"
"Fine,Decorative Lights Uninstallation (per 5m),Rishikesh,Chimney Repair,191.11"
"Fine,Single battery inverter installation,Lucknow,Bathroom cleaning,257.01"
"Extreme,Material Procurement Charges,Delhi,Shave/beard grooming,401.44"
"Fine,Waste pipe leakage,Haridwar,Full home cleaning,314.06"
"Fine,AC switchbox installation,Jaipur,Massage,118.85"
"Fine,Inverter servicing,Jaipur,Washing Machine Repair,60"
"Fine,Ceiling fan regulator replacement,Rishikesh,Massage,398.73"
"Fine,Bulb,Delhi,Hair colour,311.54"
"Fine,Shower installation (ceiling mounted),Lucknow,Plumber,217.2"
"Fine,Wash Basin Leakage Repair,Delhi,Plumber,323.64"
"Fine,New wiring without casing (per 5m),Dehradun,Kitchen cleaning,205.31"
"Fine,Material Procurement Charges,Haridwar,Home painting,260.22"
"Extreme,Stabilizer installation,Delhi,Laptop Repair,169.99"
"Fine,Thermal Cut Off (TCO),Haridwar,Chimney Repair,87.26"
"Fine,Double battery inverter installation,Haridwar,Face care,183.12"
"Extreme,TV installation (above 48 inches),Ahemdabad,Microwave Repair,482.75"
"Extreme,Shower installation (ceiling mounted),Haridwar,AC Repair Service,209.74"
"Fine,Cavity sensor,Ahemdabad,Carpenter,314.89"
"Fine,Shower installation (wall mounted/ hand-held),Ahemdabad,Shave/beard grooming,235.94"
"Extreme,Lantern Installation,Dehradun,Shave/beard grooming,461.66"
"Extreme,New wiring with casing (per 5m),Jaipur,Home painting,314.77"
