Weather,City,Subservice,Service,Price
Fine,Delhi,Tap repair,Water Purifier Repair,428.05
Fine,Delhi,Wash basin blockage removal,Plumber,235.55
Fine,Noida,Wash basin blockage removal,Water Purifier Repair,376.52
Extreme,Ahemdabad,Switchboard installation,Carpenter,473.84
Fine,Delhi,Wash basin blockage removal,Laptop Repair,351.56
Fine,Lucknow,New wiring with casing (per 5m),Massage,452.73
Fine,Delhi,Material Procurement Charges,Shave/beard grooming,491.64
Fine,Rishikesh,Single pole MCB installation,Chimney Repair,248.13
Fine,Delhi,Chandelier installation (upto 6 bulbs),Home painting,294.93
Fine,Delhi,Shower installation (ceiling mounted),Massage,456.35
Extreme,Delhi,Bulb holder installation,Carpenter,441.57
Fine,Noida,Drainage pipe blockage removal,AC Repair Service,309.31
Extreme,Rishikesh,Inverter PCB Card Replacement,Chimney Repair,478.85
Fine,Lucknow,Minor fittings installation,Home painting,362.87
Fine,Jaipur,New wiring without casing (per 5m),Full home cleaning,377.26
Fine,Delhi,Switch/socket replacement,Washing Machine Repair,402.07
Extreme,Haridwar,Inverter fuse replacement,Washing Machine Repair,477.38
Fine,Lucknow,Bulb holder installation,Water Purifier Repair,378.94
Fine,Noida,Triple Pole MCB Installation,Hair colour,292.96
Extreme,Noida,Replace CFL to LED,Face care,81.54
Fine,Noida,Fan repair,Chimney Repair,206.69
Fine,Delhi,AC switchbox installation,Face care,366.92
Fine,Ahemdabad,Decorative Lights Installation (per 15m),Shave/beard grooming,434.09
Extreme,Haridwar,Wash Basin Leakage Repair,Plumber,324.69
Fine,Ahemdabad,Wash basin blockage removal,Washing Machine Repair,404.77
Fine,Rishikesh,Switch Membrane / Key Pad Repair,Carpenter,375.49
Fine,Lucknow,Waste pipe leakage,Face care,233.87
Extreme,Rishikesh,Shower installation (wall mounted/ hand-held),Electrician,190.57
Extreme,Noida,Balcony drain blockage removal,Refrigerator Repair,472.27
Fine,Rishikesh,Drainage pipe blockage removal,Men/kids haircut,150.49
Fine,Haridwar,Double Pole MCB Installation,Carpenter,84.6
Fine,Jaipur,Four Pole MCB Installation,Water Purifier Repair,324.3
Fine,Delhi,Decorative Lights Installation (per 15m),Kitchen cleaning,75.46
Fine,Noida,3 Phase changeover switch installation,Carpenter,311.52
Extreme,Noida,Fan uninstallation,Massage,207.34
Extreme,Rishikesh,Single pole MCB installation,Shave/beard grooming,443.44
Fine,Noida,Chandelier installation (more than 6 bulbs),Water Purifier Repair,405.74
Extreme,Noida,Ceiling Fan Installation,AC Repair Service,230.56
Extreme,Lucknow,Door bell installation,Electrician,77.82
Extreme,Noida,Ceiling Fan Installation,Washing Machine Repair,236.01
Extreme,Noida,TV installation (up to 48 inches),Carpenter,294.45
Fine,Lucknow,Room heater repair,Massage,468.17
Fine,Noida,Cavity sensor,Electrician,249.09
Fine,Noida,Fan repair,Men/kids haircut,263.81
Extreme,Dehradun,3 Phase changeover switch installation,Pest control,143.36
Fine,Delhi,Mini home theater installation,Electrician,222.5
Fine,Lucknow,Geyser Uninstallation,Face care,471.24
Fine,Delhi,Tap installation,Refrigerator Repair,330.37
Fine,Haridwar,Single pole MCB installation,Full home cleaning,302.57
Extreme,Noida,Waste pipe leakage,Face care,259.11
Fine,Dehradun,Double battery inverter installation,Carpenter,475.45
Fine,Dehradun,Cavity sensor,Face care,445.56
Fine,Lucknow,TV uninstallation,Face care,397.09
Extreme,Rishikesh,Door bell replacement,Home painting,447.92
Extreme,Noida,Wash basin installation,Men/kids haircut,343.92
Fine,Dehradun,Switch Membrane / Key Pad Repair,Chimney Repair,473.95
Fine,Noida,TV installation (above 48 inches),Home painting,377.86
Fine,Ahemdabad,AC switchbox installation,Chimney Repair,149.56
Fine,Rishikesh,Bulbs installation (upto 5 bulbs),Refrigerator Repair,240.92
Extreme,Ahemdabad,3 Phase changeover switch installation,Face care,392.63
Fine,Haridwar,Material Procurement Charges,Pest control,462.61
Fine,Rishikesh,New wiring with casing (per 5m),Carpenter,478.33
Fine,Rishikesh,Decorative ceiling fan installation,Full home cleaning,452.17
Fine,Dehradun,Waste pipe leakage,Pest control,390.55
Fine,Lucknow,Lantern Installation,Face care,400.16
Fine,Dehradun,Inverter PCB Card Replacement,Home painting,289.83
Extreme,Dehradun,Bulb holder installation,Kitchen cleaning,472.53
Extreme,Noida,Double battery inverter installation,Home painting,316.61
Fine,Jaipur,Decorative Lights Installation (per 15m),Men/kids haircut,474.7
Extreme,Dehradun,Ceiling fan regulator replacement,Carpenter,377.48
Extreme,Noida,Chandelier installation (more than 6 bulbs),Carpenter,476.78
Fine,Dehradun,Minor fittings installation,Washing Machine Repair,400.52
Extreme,Lucknow,AC switchbox installation,Carpenter,462.92
Fine,Noida,Inverter fuse replacement,Plumber,153.26
Extreme,Jaipur,Wash basin installation,Chimney Repair,358.42
Fine,Noida,Switch/socket replacement,Kitchen cleaning,469.18
Extreme,Dehradun,Switchboard installation,Hair colour,375.59
Fine,Lucknow,New wiring without casing (per 5m),Face care,294.44
Extreme,Ahemdabad,Geyser Installation,Refrigerator Repair,99.56
Fine,Haridwar,AC switchbox installation,Laptop Repair,210.56
Fine,Lucknow,New wiring without casing (per 5m),Kitchen cleaning,473.81
Extreme,Jaipur,Fan uninstallation,Men/kids haircut,472.31
Extreme,Dehradun,Inverter fuse replacement,Chimney Repair,279.92
Fine,Lucknow,Wash Basin Leakage Repair,Men/kids haircut,376.65
Fine,Noida,New internal wiring (per 5m),Men/kids haircut,385.18
Fine,Ahemdabad,Replace CFL to LED,Electrician,482.26
Extreme,Jaipur,Fan Coil Repair,Laptop Repair,396.03
Fine,Lucknow,MCB fuse replacement,Face care,447.19
Extreme,Ahemdabad,Shower installation (wall mounted/ hand-held),Pest control,90.86
Fine,Noida,Wash basin blockage removal,Full home cleaning,249.21
Fine,Delhi,Double battery inverter installation,Face care,460.96
Extreme,Ahemdabad,Room heater repair,Electrician,448.8
Extreme,Noida,MCB fuse replacement,Chimney Repair,491.12
Extreme,Lucknow,New internal wiring (per 5m),Carpenter,276.63
Extreme,Haridwar,Sub meter installation,Pest control,386.27
Fine,Noida,TV installation (above 48 inches),Chimney Repair,399.26
Extreme,Rishikesh,Waste pipe leakage,Kitchen cleaning,464.15
Fine,Haridwar,Fan uninstallation,Laptop Repair,217.72
Fine,Lucknow,Waste pipe leakage,Chimney Repair,190.87
Extreme,Lucknow,Minor fittings installation,Full home cleaning,333.42
Fine,Jaipur,Chandelier installation (upto 6 bulbs),Water Purifier Repair,453.86
Extreme,Noida,Sub meter installation,Carpenter,447.38
Fine,Ahemdabad,Waste pipe leakage,Microwave Repair,449.98
Extreme,Noida,Chandelier installation (more than 6 bulbs),Carpenter,357.36
Extreme,Delhi,Decorative Lights Uninstallation (per 5m),Face care,287.27
Extreme,Noida,Chandelier installation (more than 6 bulbs),Carpenter,354.7
Fine,Delhi,Ceiling Fan Installation,Microwave Repair,283.01
Fine,Dehradun,Inverter servicing,Massage,463.63
Fine,Delhi,3 Phase changeover switch installation,Home painting,452.06
Extreme,Haridwar,Waste pipe leakage,Home painting,421.69
Fine,Dehradun,Switchboard installation,Men/kids haircut,216.48
Fine,Noida,Tap installation,Shave/beard grooming,344.2
Fine,Haridwar,Stabilizer installation,Electrician,476.47
Extreme,Noida,3 Phase Changeover Switch Installation,Massage,180.27
Fine,Noida,Wash Basin Leakage Repair,Pest control,230.31
Extreme,Noida,Chandelier installation (upto 6 bulbs),Laptop Repair,448.09
Fine,Ahemdabad,Decorative Lights Installation (per 15m),Men/kids haircut,322.94
Fine,Delhi,Fan Coil Repair,Laptop Repair,210.75
Fine,Lucknow,Single pole MCB installation,Plumber,468.1
Extreme,Noida,Wash Basin Leakage Repair,Carpenter,90.91
Extreme,Rishikesh,Ceiling Fan Installation,Chimney Repair,189.35
Extreme,Jaipur,Wash Basin Leakage Repair,Shave/beard grooming,353.44
Fine,Noida,Double Pole MCB Installation,Massage,363.4
Fine,Delhi,Inverter PCB Card Replacement,Carpenter,246.72
Extreme,Noida,Decorative Lights Uninstallation (per 5m),Carpenter,294.68
Fine,Lucknow,New wiring without casing (per 5m),Face care,327.33
Fine,Noida,AC switchbox installation,Massage,79.54
Extreme,Noida,Shower installation (ceiling mounted),Washing Machine Repair,297.84
Extreme,Rishikesh,Double Pole MCB Installation,Men/kids haircut,150.91
Fine,Rishikesh,New internal wiring (per 5m),Carpenter,459.43
Fine,Delhi,Chandelier installation (more than 6 bulbs),Face care,73.65
Extreme,Rishikesh,Hot & cold water mixer installation,Electrician,444.8
Fine,Lucknow,Tubelight Installation/Repair,Refrigerator Repair,383.26
Extreme,Rishikesh,Bulb holder installation,Home painting,116.52
Fine,Jaipur,3 Phase changeover switch installation,Carpenter,468.4
Fine,Dehradun,Sub meter installation,AC Repair Service,399.19
Fine,Rishikesh,Waste pipe leakage,Pest control,183.25
Extreme,Lucknow,New wiring without casing (per 5m),Men/kids haircut,391.63
Extreme,Haridwar,Ceiling fan regulator replacement,Carpenter,424.09
Fine,Dehradun,Lantern Installation,Hair colour,459.15
Extreme,Haridwar,Shower installation (ceiling mounted),Chimney Repair,286.27
Fine,Haridwar,Triple Pole MCB Installation,Bathroom cleaning,297.23
Fine,Ahemdabad,Decorative Lights Installation (per 15m),Face care,452.94
Extreme,Lucknow,Switch Membrane / Key Pad Repair,Refrigerator Repair,366.14
Extreme,Noida,Shower installation (wall mounted/ hand-held),Chimney Repair,467.66
Fine,Jaipur,Fan repair,Water Purifier Repair,244.08
Fine,Lucknow,Chandelier installation (upto 6 bulbs),Carpenter,263.53
Extreme,Rishikesh,Material Procurement Charges,Refrigerator Repair,397.83
Fine,Lucknow,Wash basin blockage removal,Carpenter,397.28
Extreme,Rishikesh,Switchboard installation,Home painting,400.43
Extreme,Lucknow,MCB fuse replacement,Carpenter,389.63
Fine,Jaipur,Bulb Holder Installation,Microwave Repair,483.36
Fine,Haridwar,Single pole MCB installation,Massage,498.51
Fine,Delhi,Chandelier installation (more than 6 bulbs),Massage,252.42
Fine,Noida,Bulb Holder Installation,Full home cleaning,467.69
Extreme,Noida,Decorative Lights Installation (per 5m),AC Repair Service,358.21
Extreme,Ahemdabad,Chandelier installation (more than 6 bulbs),Laptop Repair,347.55
Fine,Noida,Triple Pole MCB Installation,Home painting,413.56
Extreme,Ahemdabad,Lantern Installation,Refrigerator Repair,89.71
Fine,Haridwar,Hot & cold water mixer installation,AC Repair Service,490.72
Extreme,Noida,Switchboard installation,Face care,473.37
Fine,Rishikesh,TV installation (up to 48 inches),Home painting,476.05
Fine,Dehradun,Fan replacement,Carpenter,471.15
Extreme,Jaipur,Mini home theater installation,Face care,461.83
Fine,Haridwar,Thermal Cut Off (TCO),Chimney Repair,220.67
Extreme,Jaipur,Chandelier installation (more than 6 bulbs),Carpenter,480.93
Extreme,Jaipur,Chandelier installation (upto 6 bulbs),Washing Machine Repair,336.18
Fine,Noida,Drainage pipe blockage removal,Microwave Repair,311.6
Fine,Delhi,Stabilizer installation,Microwave Repair,420.35
Fine,Rishikesh,Switchboard repair,Full home cleaning,208.95
Fine,Rishikesh,Fan repair,Men/kids haircut,469.84
Fine,Haridwar,Four Pole MCB Installation,Bathroom cleaning,307.08
Fine,Noida,Single battery inverter installation,Pest control,343.0
Extreme,Noida,Inverter servicing,Men/kids haircut,492.37
Fine,Ahemdabad,New internal wiring (per 5m),Carpenter,120.9
Fine,Haridwar,Mini home theater installation,Hair colour,400.83
Extreme,Jaipur,Wash Basin Leakage Repair,Carpenter,477.26
Extreme,Rishikesh,Inverter servicing,Massage,388.14
Extreme,Lucknow,Door bell replacement,Refrigerator Repair,319.56
Extreme,Dehradun,Chandelier installation (more than 6 bulbs),Face care,107.69
Fine,Rishikesh,Stabilizer installation,Home painting,423.22
Extreme,Noida,Double Pole MCB Installation,Carpenter,405.48
Fine,Noida,Lights Uninstallation (per 20 m),Hair colour,390.43
Extreme,Noida,New wiring with casing (per 5m),Washing Machine Repair,466.9
Fine,Noida,Chandelier installation (upto 6 bulbs),Washing Machine Repair,265.66
Fine,Jaipur,MCB fuse replacement,Electrician,463.1
Extreme,Jaipur,Fan uninstallation,Water Purifier Repair,393.73
Fine,Noida,Double battery inverter installation,Washing Machine Repair,313.11
Fine,Lucknow,Wash Basin Leakage Repair,Shave/beard grooming,389.14
Fine,Noida,Inverter fuse replacement,Hair colour,384.71
Fine,Rishikesh,Hot & cold water mixer repair,Kitchen cleaning,358.91
Fine,Lucknow,Sub meter installation,Men/kids haircut,255.99
Extreme,Dehradun,Four Pole MCB Installation,Full home cleaning,356.0
Extreme,Jaipur,Tap installation,Electrician,323.07
Extreme,Noida,3 Phase Changeover Switch Installation,Carpenter,458.54
Fine,Rishikesh,PCB Repair,Carpenter,477.66
Fine,Noida,Door bell replacement,Shave/beard grooming,199.9
Fine,Lucknow,Shower installation (ceiling mounted),Men/kids haircut,191.68
Fine,Jaipur,Timer,Shave/beard grooming,441.77
Fine,Haridwar,Tap replacement,AC Repair Service,371.71
Fine,Lucknow,Chandelier installation (upto 6 bulbs),Carpenter,320.44
Extreme,Noida,Lights Uninstallation (per 20 m),Men/kids haircut,320.92
Fine,Delhi,Double battery inverter installation,Face care,368.9
Extreme,Noida,Stabilizer installation,Water Purifier Repair,465.94
Fine,Ahemdabad,Room heater repair,Laptop Repair,281.3
Extreme,Dehradun,Double battery inverter installation,Carpenter,100.0
Fine,Delhi,Cavity sensor,Massage,437.31
Extreme,Haridwar,Double Pole MCB Installation,Washing Machine Repair,172.71
Extreme,Rishikesh,Chandelier installation (more than 6 bulbs),Microwave Repair,181.42
Fine,Jaipur,Decorative Lights Uninstallation (per 5m),Massage,460.59
Fine,Noida,Lantern Installation,Face care,264.34
Extreme,Rishikesh,AC switchbox installation,Carpenter,440.02
Fine,Rishikesh,Decorative Lights Installation (per 15m),Face care,367.35
Fine,Haridwar,Decorative Lights Uninstallation (per 5m),Carpenter,269.51
Extreme,Noida,Switchboard installation,Full home cleaning,464.94
Fine,Lucknow,Double Pole MCB Installation,Shave/beard grooming,475.42
Extreme,Noida,New wiring without casing (per 5m),Carpenter,436.95
Extreme,Noida,Bulbs installation (upto 5 bulbs),Laptop Repair,413.12
Fine,Delhi,Triple Pole MCB Installation,Carpenter,456.81
Extreme,Noida,Geyser Uninstallation,Carpenter,440.14
Extreme,Noida,Tubelight Installation/Repair,Men/kids haircut,161.15
Fine,Rishikesh,Minor fittings installation,Laptop Repair,89.44
Extreme,Noida,Bulbs installation (upto 5 bulbs),Home painting,475.6
Fine,Lucknow,Single battery inverter installation,Pest control,287.24
Extreme,Jaipur,MCB fuse replacement,Shave/beard grooming,455.78
Extreme,Noida,Wash Basin Leakage Repair,Washing Machine Repair,428.25
Fine,Noida,TV installation (up to 48 inches),AC Repair Service,251.63
Extreme,Rishikesh,Material Procurement Charges,Carpenter,112.51
Fine,Rishikesh,3 Phase Changeover Switch Installation,Men/kids haircut,463.35
Fine,Noida,Lights Uninstallation (per 20 m),Plumber,478.99
Extreme,Jaipur,Switchboard installation,Carpenter,447.25
Fine,Noida,Balcony drain blockage removal,Washing Machine Repair,376.38
Extreme,Noida,Fan Coil Repair,Men/kids haircut,373.55
Fine,Jaipur,Switchboard repair,Kitchen cleaning,187.14
Fine,Noida,Single battery inverter installation,Washing Machine Repair,455.02
Extreme,Noida,Room heater repair,Men/kids haircut,473.07
Fine,Delhi,3 Phase changeover switch installation,Men/kids haircut,449.91
Extreme,Lucknow,Fan replacement,Pest control,385.48
Extreme,Dehradun,Bulb holder installation,Massage,443.48
Fine,Jaipur,Balcony drain blockage removal,Refrigerator Repair,140.29
Fine,Dehradun,Inverter PCB Card Replacement,Electrician,84.12
Fine,Dehradun,Wash Basin Leakage Repair,Full home cleaning,183.59
Fine,Lucknow,Shower installation (ceiling mounted),Washing Machine Repair,310.51
Extreme,Lucknow,Switchboard installation,Carpenter,475.59
Extreme,Delhi,TV uninstallation,Home painting,187.87
Fine,Lucknow,Replace CFL to LED,Microwave Repair,66.41
Extreme,Delhi,Four Pole MCB Installation,Plumber,142.35
Extreme,Noida,Inverter fuse replacement,Chimney Repair,416.69
Extreme,Haridwar,Door bell installation,Chimney Repair,456.12
Extreme,Rishikesh,Bulb holder installation,Carpenter,379.75
Fine,Jaipur,Chandelier installation (upto 6 bulbs),Plumber,366.56
Fine,Noida,Inverter fuse replacement,Pest control,470.05
Fine,Noida,Thermal Cut Off (TCO),Home painting,85.06
Fine,Haridwar,Inverter fuse replacement,AC Repair Service,369.7
Fine,Delhi,Hot & cold water mixer installation,Plumber,433.46
Fine,Jaipur,Replace CFL to LED,Full home cleaning,458.79
Fine,Delhi,Bulb holder installation,Face care,298.12
Fine,Ahemdabad,Fan Coil Repair,Washing Machine Repair,68.9
Fine,Rishikesh,Switch Membrane / Key Pad Repair,Shave/beard grooming,145.7
Fine,Dehradun,Decorative Lights Installation (per 15m),Chimney Repair,301.91
Extreme,Noida,Waste pipe leakage,Electrician,451.15
Extreme,Noida,Decorative ceiling fan installation,Home painting,305.12
Fine,Delhi,Decorative light & bed lamp installation,Washing Machine Repair,478.23
Fine,Noida,Balcony drain blockage removal,Massage,446.29
Fine,Lucknow,Tap replacement,Laptop Repair,475.4
Fine,Dehradun,Lights Uninstallation (per 20 m),Chimney Repair,379.14
Fine,Rishikesh,New wiring without casing (per 5m),Chimney Repair,447.17
Extreme,Noida,Inverter PCB Card Replacement,Face care,488.0
Extreme,Haridwar,Timer,Carpenter,349.81
Extreme,Lucknow,Hot & cold water mixer installation,Chimney Repair,453.21
Extreme,Delhi,TV uninstallation,Pest control,259.18
Extreme,Rishikesh,Decorative Lights Installation (per 5m),Plumber,473.11
Fine,Noida,Fan repair,Plumber,296.35
Extreme,Noida,Switch Membrane / Key Pad Repair,Chimney Repair,474.6
Fine,Lucknow,Bulb,Pest control,149.38
Fine,Noida,3 Phase changeover switch installation,Men/kids haircut,464.33
Fine,Rishikesh,TV installation (up to 48 inches),Men/kids haircut,288.68
Fine,Haridwar,Tubelight Installation/Repair,Laptop Repair,468.91
Fine,Delhi,Sub meter installation,Bathroom cleaning,403.93
Extreme,Noida,Single battery inverter installation,Face care,135.99
Fine,Noida,Fan repair,Chimney Repair,308.69
Extreme,Noida,Bulb Holder Installation,Microwave Repair,393.69
Fine,Lucknow,Decorative Lights Installation (per 10m),Laptop Repair,492.58
Fine,Rishikesh,TV installation (up to 48 inches),Home painting,305.88
Extreme,Haridwar,Double battery inverter installation,Home painting,391.29
Fine,Delhi,Decorative ceiling fan installation,Electrician,276.19
Extreme,Ahemdabad,Switch Membrane / Key Pad Repair,Electrician,482.25
Fine,Lucknow,Balcony drain blockage removal,Water Purifier Repair,219.46
Fine,Noida,Fan Coil Repair,Water Purifier Repair,142.73
Extreme,Noida,Chandelier installation (more than 6 bulbs),Hair colour,401.27
Fine,Lucknow,New wiring with casing (per 5m),Microwave Repair,89.54
Fine,Lucknow,Lantern Installation,Pest control,466.14
Fine,Rishikesh,Hot & cold water mixer installation,Face care,405.07
Fine,Dehradun,Ceiling fan regulator replacement,Water Purifier Repair,233.02
Fine,Rishikesh,Bulbs installation (upto 5 bulbs),Water Purifier Repair,495.38
Extreme,Noida,Ceiling fan regulator replacement,Laptop Repair,371.38
Extreme,Rishikesh,Chandelier installation (more than 6 bulbs),Electrician,467.06
Extreme,Rishikesh,Tubelight Installation/Repair,Carpenter,440.2
Extreme,Haridwar,New wiring without casing (per 5m),Carpenter,167.05
Fine,Noida,3 Phase Changeover Switch Installation,Massage,278.31
Fine,Noida,Material Procurement Charges,Bathroom cleaning,493.2
Fine,Haridwar,TV installation (above 48 inches),Pest control,393.27
Fine,Jaipur,Chandelier installation (upto 6 bulbs),Full home cleaning,446.13
Fine,Haridwar,Cavity sensor,Face care,410.99
Extreme,Rishikesh,3 Phase changeover switch installation,Chimney Repair,405.74
Fine,Delhi,Tap installation,Bathroom cleaning,258.23
Fine,Dehradun,Minor fittings installation,Face care,160.54
Fine,Rishikesh,Thermal Cut Off (TCO),Chimney Repair,480.31
Extreme,Dehradun,Four Pole MCB Installation,Bathroom cleaning,128.03
Fine,Rishikesh,Tap installation,Water Purifier Repair,169.65
Fine,Lucknow,Inverter fuse replacement,Full home cleaning,299.61
Extreme,Jaipur,Wash basin blockage removal,Face care,392.91
Fine,Ahemdabad,Lantern Installation,Washing Machine Repair,314.15
Fine,Ahemdabad,New wiring without casing (per 5m),Kitchen cleaning,347.72
Fine,Rishikesh,Room heater repair,AC Repair Service,395.38
Extreme,Noida,Bulbs installation (upto 5 bulbs),Men/kids haircut,336.5
Fine,Delhi,Timer,Refrigerator Repair,483.74
Extreme,Lucknow,Double Pole MCB Installation,Men/kids haircut,475.31
Fine,Delhi,Door bell replacement,Water Purifier Repair,440.25
Extreme,Jaipur,New wiring without casing (per 5m),Bathroom cleaning,466.35
Fine,Ahemdabad,Double battery inverter installation,Face care,341.9
Extreme,Haridwar,TV installation (above 48 inches),Chimney Repair,497.36
Fine,Noida,TV uninstallation,Microwave Repair,252.38
Fine,Noida,Mini home theater installation,Refrigerator Repair,464.91
Extreme,Delhi,AC switchbox installation,Chimney Repair,398.04
Fine,Jaipur,Decorative Lights Installation (per 10m),Carpenter,325.77
Fine,Noida,Bulb holder installation,Home painting,279.77
Fine,Lucknow,Thermal Cut Off (TCO),Microwave Repair,359.95
Fine,Noida,Chandelier installation (upto 6 bulbs),Hair colour,400.62
Extreme,Jaipur,Four Pole MCB Installation,Washing Machine Repair,423.63
Fine,Rishikesh,Wash basin blockage removal,Refrigerator Repair,291.66
Extreme,Noida,Tap repair,Face care,499.92
Fine,Ahemdabad,Hot & cold water mixer repair,Men/kids haircut,96.64
Extreme,Noida,Inverter fuse replacement,Men/kids haircut,470.38
Extreme,Lucknow,3 Phase Changeover Switch Installation,Water Purifier Repair,382.15
Fine,Haridwar,TV installation (up to 48 inches),AC Repair Service,473.98
Fine,Noida,TV uninstallation,Washing Machine Repair,75.01
Extreme,Haridwar,Ceiling Fan Installation,Hair colour,453.22
Extreme,Lucknow,Fan repair,Refrigerator Repair,353.48
Fine,Noida,Lights Uninstallation (per 20 m),Laptop Repair,328.18
Fine,Jaipur,Room heater repair,Washing Machine Repair,396.0
Extreme,Haridwar,Waste pipe leakage,Face care,378.85
Extreme,Ahemdabad,Wash basin blockage removal,Laptop Repair,91.03
Fine,Dehradun,Bulbs installation (upto 5 bulbs),Full home cleaning,311.25
Extreme,Jaipur,Chandelier installation (upto 6 bulbs),Carpenter,461.89
Extreme,Haridwar,Inverter fuse replacement,Pest control,220.09
Fine,Ahemdabad,New wiring with casing (per 5m),Washing Machine Repair,289.83
Extreme,Noida,Decorative Lights Installation (per 5m),Men/kids haircut,455.25
Extreme,Jaipur,Hot & cold water mixer repair,Water Purifier Repair,471.13
Extreme,Noida,Bulbs installation (upto 5 bulbs),Carpenter,374.07
Fine,Noida,Minor fittings installation,Hair colour,395.81
Extreme,Delhi,Waste pipe leakage,Laptop Repair,482.58
Fine,Lucknow,Room heater repair,Men/kids haircut,364.93
Fine,Jaipur,Balcony drain blockage removal,Face care,467.65
Extreme,Noida,Switchboard installation,Plumber,151.62
Fine,Noida,Geyser Uninstallation,Home painting,342.74
Fine,Dehradun,New wiring without casing (per 5m),Massage,178.56
Extreme,Delhi,Inverter PCB Card Replacement,Men/kids haircut,235.66
Fine,Noida,TV installation (above 48 inches),Chimney Repair,405.14
Fine,Noida,Wash basin blockage removal,Men/kids haircut,327.98
Extreme,Delhi,Wash basin blockage removal,Carpenter,448.19
Fine,Rishikesh,Wash basin blockage removal,Electrician,464.94
Fine,Dehradun,Double battery inverter installation,Washing Machine Repair,461.04
Extreme,Lucknow,New wiring without casing (per 5m),Microwave Repair,450.79
Fine,Haridwar,Triple Pole MCB Installation,Chimney Repair,193.98
Fine,Dehradun,Chandelier installation (upto 6 bulbs),Water Purifier Repair,251.21
Fine,Noida,Fan repair,Shave/beard grooming,456.66
Fine,Noida,Triple Pole MCB Installation,Washing Machine Repair,335.42
Extreme,Noida,MCB fuse replacement,Carpenter,400.81
Fine,Lucknow,Fan uninstallation,Microwave Repair,185.47
Fine,Ahemdabad,Decorative ceiling fan installation,Chimney Repair,80.53
Extreme,Haridwar,Tap installation,Pest control,413.11
Fine,Rishikesh,Chandelier installation (upto 6 bulbs),Massage,397.22
Fine,Haridwar,Bulb Holder Installation,Chimney Repair,342.57
Extreme,Noida,Chandelier installation (upto 6 bulbs),Carpenter,459.08
Fine,Rishikesh,Lights Uninstallation (per 20 m),Massage,291.66
Fine,Dehradun,TV installation (above 48 inches),Washing Machine Repair,58.46
Extreme,Lucknow,Lantern Installation,Carpenter,329.28
Fine,Delhi,Double battery inverter installation,Plumber,469.93
Fine,Noida,Inverter PCB Card Replacement,Massage,365.89
Fine,Rishikesh,Fuse 5 / 15 Amp,Shave/beard grooming,324.63
Fine,Ahemdabad,Replace CFL to LED,Hair colour,411.4
Extreme,Noida,Inverter PCB Card Replacement,Bathroom cleaning,77.55
Fine,Noida,Single pole MCB installation,Carpenter,255.22
Fine,Jaipur,Decorative Lights Installation (per 15m),Plumber,415.16
Fine,Ahemdabad,Room heater repair,Laptop Repair,150.08
Fine,Delhi,Cavity sensor,Massage,262.83
Extreme,Rishikesh,Material Procurement Charges,Massage,382.05
Extreme,Jaipur,Shower installation (wall mounted/ hand-held),Pest control,140.75
Extreme,Noida,Door bell installation,AC Repair Service,465.34
Fine,Jaipur,Fan repair,Chimney Repair,392.5
Fine,Dehradun,MCB fuse replacement,Face care,471.16
